intérêt;1;0;1;1;1
idéologie;1;1;1;3;2
femme;0;0;5;5;0
etats;0;3;0;2;1
désobéissance;1;4;0;1;0
défendre;4;0;1;3;0
déclaration;1;0;0;2;7
conclure;2;1;0;7;0
britannique;0;0;2;0;2
autorité;5;2;1;0;2
aspect;4;1;0;3;1
événement;1;0;0;4;2
étudier;8;1;0;0;0
vie;0;5;1;2;1
transformation;0;8;1;0;0
total;1;1;0;1;2
théoriser;0;0;0;1;2
tat;2;4;1;1;0
sorte;6;0;0;1;1
révolut;0;0;0;8;0
révolu;1;0;0;4;2
rupture;4;1;0;2;1
prôner;2;0;3;2;0
problème;0;2;0;2;5
printemps;0;0;8;1;0
numérique;1;0;0;6;1
nombre;1;0;3;4;1
moderne;3;2;0;1;1
mesure;0;0;6;1;0
mentir;0;0;0;8;0
lénine;1;1;1;1;1
légitime;3;2;4;0;0
laisser;1;1;4;1;1
kennedy;1;0;1;1;0
impossible;0;1;3;0;0
idéologique;1;0;1;4;1
humain;1;4;0;2;2
généralement;3;2;0;0;0
face;1;0;4;2;2
expliquer;1;2;1;2;0
exister;3;2;1;2;0
demander;3;2;1;2;0
célèbre;0;0;0;0;5
courant;2;0;0;3;1
constituer;1;0;1;5;1
citoyen;1;0;1;3;4
arriver;1;1;3;0;0
arme;4;0;0;0;3
arabe;0;0;9;0;0
appuyer;1;0;0;1;4
ant;0;1;0;6;0
allemand;0;1;2;2;2
algérie;0;0;4;0;0
état;2;2;3;0;0
vision;3;2;0;0;0
viser;2;3;0;1;0
vi;0;2;2;2;0
user;0;0;7;1;0
transformer;0;3;0;3;2
st;1;1;1;4;0
sexuel;0;0;5;2;1
révol;0;0;0;8;0
répondre;0;2;0;2;3
revenir;5;1;1;0;1
puissance;1;1;1;3;0
protestation;2;3;1;0;0
principe;2;1;0;1;2
principal;2;1;1;2;2
posséder;3;1;1;1;0
porter;1;0;2;0;5
opposant;0;4;2;0;0
obtenir;0;0;3;0;0
noir;1;0;1;1;0
moment;0;0;1;1;5
marxiste;2;0;1;1;0
institution;2;5;0;0;0
instaurer;0;4;0;2;0
général;0;0;0;0;7
ennemi;1;1;0;1;3
développer;2;1;0;3;1
désigner;8;0;0;0;0
démocratie;1;1;2;0;2
commencer;5;2;0;0;1
chute;0;1;3;0;3
bastille;0;0;0;0;8
appliquer;0;1;1;4;0
ancien;1;1;0;3;2
évoluer;2;0;1;4;0
écrire;1;1;0;1;0
véritable;0;1;0;3;1
victime;0;0;0;0;7
valeur;1;4;0;0;0
ue;4;2;0;1;0
type;3;1;0;1;0
thèse;2;0;0;2;0
structure;0;4;0;0;0
stabilité;5;0;0;0;2
solution;0;0;0;7;0
sang;1;0;1;4;0
réponse;2;1;3;1;0
réaliser;0;0;2;3;0
réaction;1;4;0;0;2
russie;0;1;0;1;4
refuser;1;2;2;0;2
président;1;0;1;0;1
propos;1;0;2;1;0
privé;0;3;0;0;0
poser;0;1;0;5;1
plutôt;3;1;0;2;0
petit;1;2;2;0;1
passage;2;0;3;0;0
pacifiste;0;0;0;7;0
nouvel;3;0;2;2;0
nom;1;0;0;0;6
nature;0;1;0;4;1
majorité;0;0;6;0;1
légitimité;5;0;0;0;2
loi;1;1;3;0;0
lien;6;1;0;0;0
libérer;4;0;1;0;0
justifier;0;2;0;1;4
jour;1;3;2;0;1
idéal;1;0;2;1;2
fait;0;0;0;7;0
fa;0;4;0;0;1
efficace;5;0;0;1;0
déclarer;1;0;0;0;3
céder;0;0;5;0;0
crise;0;2;0;1;1
contraindre;1;4;1;1;0
contexte;3;2;0;1;0
connaître;0;0;0;7;0
commettre;0;0;0;0;6
brutalité;4;2;0;0;1
brusque;0;7;0;0;0
bouleverser;1;1;1;4;0
apporter;3;1;0;1;0
amérique;1;0;1;0;1
affirmer;1;1;1;3;1
évoquer;1;0;0;0;3
éviter;0;1;0;3;2
volution;0;0;0;6;0
violen;1;1;1;3;0
utopie;0;0;2;4;0
tuer;3;2;0;0;1
sociétales;3;1;1;1;0
situation;2;0;2;2;0
sanglant;2;0;1;0;2
révolutio;1;0;0;2;0
révolter;3;0;1;0;1
réel;2;0;0;1;1
rouge;0;4;0;0;0
revendication;0;1;4;1;0
raison;0;3;1;1;1
profond;0;2;2;0;1
pousser;3;1;1;0;1
possibilité;0;2;1;1;0
po;0;1;0;2;1
phénomène;3;3;0;0;0
peur;0;1;0;2;3
pacifisme;0;0;4;1;0
organisation;0;2;3;0;0
opposé;1;0;5;0;0
ons;0;1;0;4;1
observer;0;0;1;5;0
objectif;2;1;1;2;0
manifestant;0;0;3;0;2
maintenir;1;1;4;0;0
machine;0;0;0;4;0
livre;0;3;1;1;0
libre;0;0;5;0;1
inévitablement;1;0;5;0;0
intéressant;0;0;0;6;0
individu;3;2;0;1;0
impact;0;0;0;6;0
h;2;0;0;1;0
finalement;4;0;0;2;0
