"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;1
"3";0;0;0;0;0;0;0;0;1
"4";0;0;0;0;0;0;0;0;2
"5";0;0;0;0;0;0;0;0;1
"6";0;0;0;0;0;0;0;0;1
"7";0;0;0;0;0;0;0;0;2
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;0;0
"14";0;0;0;0;0;0;0;0;0
"15";0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;0;0;0;0
"17";0;0;0;0;0;5;5;5;5
"18";0;0;0;0;0;5;5;5;5
"19";0;0;0;0;0;5;5;5;5
"20";0;0;0;0;0;5;5;5;5
"21";0;0;0;0;0;5;5;5;5
"22";0;0;0;0;0;5;5;5;5
"23";0;0;0;0;0;5;5;5;5
"24";0;0;0;0;0;0;0;0;2
"25";0;0;0;0;0;0;0;0;1
"26";0;0;0;0;0;0;0;0;1
"27";0;0;0;0;0;5;5;5;5
"28";0;0;0;0;0;5;5;5;5
"29";0;0;0;0;0;0;4;4;4
"30";0;0;0;0;0;5;5;5;5
"31";0;0;0;0;0;5;5;5;5
"32";0;0;0;0;0;5;5;5;5
"33";0;0;0;0;0;0;4;4;4
"34";0;0;0;0;0;0;0;0;2
"35";0;0;0;0;0;0;0;0;1
"36";0;0;0;0;0;5;5;5;5
"37";0;0;0;0;0;5;5;5;5
"38";0;0;0;0;0;0;0;0;1
"39";0;0;0;0;0;0;0;0;2
"40";0;0;0;0;0;0;0;0;2
"41";0;0;0;0;0;0;0;0;1
"42";0;0;0;0;0;0;0;0;2
"43";0;0;0;0;0;0;0;3;3
"44";0;0;0;0;0;0;0;3;3
"45";0;0;0;0;0;5;5;5;5
"46";0;0;0;0;0;0;0;0;1
"47";0;0;0;0;0;0;0;0;1
"48";0;0;0;0;0;0;0;0;0
"49";0;0;0;0;0;0;0;0;1
"50";0;0;0;0;0;0;0;0;1
"51";0;0;0;0;0;0;0;0;2
"52";0;0;0;0;0;0;0;0;2
"53";0;0;0;0;0;0;0;0;1
"54";0;0;0;0;0;0;4;4;4
"55";0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0
"58";0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;5;5;5;5
"65";0;0;0;0;0;0;0;0;2
"66";0;0;0;0;0;5;5;5;5
"67";0;0;0;0;0;5;5;5;5
"68";0;0;0;0;0;5;5;5;5
"69";0;0;0;0;0;0;4;4;4
"70";0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;5;5;5;5
"72";0;0;0;0;0;5;5;5;5
"73";0;0;0;0;0;5;5;5;5
"74";0;0;0;0;0;5;5;5;5
"75";0;0;0;0;0;0;4;4;4
"76";0;0;0;0;0;0;0;0;2
"77";0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0
"79";0;0;0;0;0;0;0;0;0
"80";0;0;0;0;0;5;5;5;5
"81";0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0
