"";"x"
"1";0
"2";2
"3";2
"4";1
"5";2
"6";2
"7";1
"8";0
"9";0
"10";0
"11";0
"12";2
"13";0
"14";0
"15";0
"16";0
"17";5
"18";5
"19";5
"20";5
"21";5
"22";5
"23";5
"24";1
"25";2
"26";2
"27";5
"28";5
"29";4
"30";5
"31";5
"32";5
"33";4
"34";1
"35";2
"36";5
"37";5
"38";2
"39";1
"40";1
"41";2
"42";1
"43";3
"44";3
"45";5
"46";2
"47";2
"48";0
"49";2
"50";2
"51";1
"52";1
"53";2
"54";4
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";5
"65";1
"66";5
"67";5
"68";5
"69";4
"70";0
"71";5
"72";5
"73";5
"74";5
"75";4
"76";1
"77";0
"78";0
"79";0
"80";5
"81";0
"82";0
"83";2
"84";1
"85";3
"86";0
"87";3
"88";1
"89";1
"90";1
"91";1
"92";1
"93";0
"94";0
"95";1
"96";2
"97";3
"98";0
"99";1
"100";2
"101";2
"102";2
"103";3
"104";5
"105";5
"106";5
"107";3
"108";1
"109";1
"110";2
"111";3
"112";1
"113";3
"114";4
"115";1
"116";1
"117";3
"118";1
"119";3
"120";1
"121";2
"122";2
"123";4
"124";0
"125";0
"126";4
"127";4
"128";2
"129";2
"130";4
"131";4
"132";2
"133";0
"134";0
"135";0
"136";4
"137";0
"138";4
"139";0
"140";4
"141";0
"142";0
"143";1
"144";4
"145";5
"146";0
"147";5
"148";5
"149";5
"150";0
"151";5
"152";4
"153";4
"154";4
"155";2
"156";4
"157";4
"158";4
"159";4
"160";2
"161";4
"162";0
"163";4
"164";4
"165";4
"166";4
"167";0
"168";4
"169";1
"170";5
"171";4
"172";1
"173";4
"174";1
"175";4
"176";4
"177";4
"178";5
"179";4
"180";2
"181";1
"182";5
"183";1
"184";4
"185";0
"186";2
"187";4
"188";1
"189";2
"190";4
"191";5
"192";4
"193";5
"194";5
"195";1
"196";0
"197";1
"198";1
"199";5
"200";1
"201";2
"202";4
"203";3
"204";4
"205";4
"206";4
"207";3
"208";4
"209";1
"210";4
"211";4
"212";4
"213";4
"214";0
"215";3
"216";3
"217";5
"218";5
"219";4
"220";3
"221";4
"222";4
"223";1
"224";2
"225";1
"226";4
"227";4
"228";4
"229";1
"230";4
"231";4
"232";4
"233";4
"234";4
"235";4
"236";4
"237";4
"238";2
"239";1
"240";2
"241";2
"242";0
"243";3
"244";3
"245";1
"246";1
"247";2
"248";5
"249";2
"250";2
"251";2
"252";3
"253";2
"254";1
"255";0
"256";0
"257";3
"258";2
"259";3
"260";3
"261";3
"262";2
"263";2
"264";2
"265";2
"266";2
"267";1
"268";2
"269";2
"270";1
"271";5
"272";2
"273";3
"274";2
"275";3
"276";0
"277";0
"278";4
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";0
"290";0
"291";4
"292";0
"293";0
"294";0
"295";0
"296";4
"297";4
"298";0
"299";0
"300";0
"301";0
"302";0
"303";0
"304";0
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";4
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";4
"320";0
"321";4
"322";0
"323";0
"324";0
"325";0
"326";0
"327";1
"328";2
"329";1
"330";1
"331";2
"332";1
"333";2
"334";1
"335";0
"336";0
"337";1
"338";2
"339";2
"340";2
"341";2
"342";4
"343";2
"344";4
"345";2
"346";5
"347";1
"348";1
"349";1
"350";5
"351";2
"352";5
"353";5
"354";4
"355";2
"356";4
"357";4
"358";0
"359";0
"360";2
"361";2
"362";1
"363";4
"364";3
"365";4
"366";4
"367";4
"368";4
"369";4
"370";4
"371";0
"372";2
"373";4
"374";3
"375";4
"376";0
"377";4
"378";4
"379";4
"380";4
"381";0
"382";3
"383";3
"384";4
"385";3
"386";4
"387";3
"388";4
"389";3
"390";4
"391";2
"392";0
"393";4
"394";4
"395";4
"396";1
"397";2
"398";4
"399";1
"400";4
"401";0
"402";4
"403";0
"404";4
"405";2
"406";2
"407";1
"408";4
"409";0
"410";0
"411";1
"412";4
"413";0
"414";0
"415";0
"416";0
"417";0
"418";0
"419";0
"420";4
"421";0
"422";0
"423";0
"424";2
"425";0
"426";4
"427";1
"428";2
"429";0
"430";5
"431";0
"432";0
"433";5
"434";0
"435";0
"436";0
"437";2
"438";4
"439";0
"440";1
"441";4
"442";5
"443";4
"444";1
"445";5
"446";2
"447";3
"448";2
"449";4
"450";3
"451";1
"452";4
"453";4
"454";4
"455";2
"456";4
"457";1
"458";4
"459";4
"460";3
"461";4
"462";4
"463";0
"464";4
"465";1
"466";4
"467";4
"468";4
"469";4
"470";0
"471";4
"472";5
"473";2
"474";4
"475";4
"476";2
"477";3
"478";4
"479";4
"480";0
"481";4
"482";4
"483";3
"484";4
"485";4
"486";4
"487";4
"488";3
"489";4
"490";4
"491";4
"492";4
"493";4
"494";4
"495";0
"496";2
"497";4
"498";2
"499";2
"500";3
"501";4
"502";2
"503";5
"504";2
"505";2
"506";5
"507";4
"508";5
"509";4
"510";0
"511";0
"512";3
"513";4
"514";2
"515";2
"516";2
"517";4
"518";5
"519";2
"520";3
"521";4
"522";4
"523";0
"524";1
"525";0
"526";4
"527";0
"528";4
"529";4
"530";2
"531";5
"532";2
"533";0
"534";4
"535";3
"536";4
"537";4
"538";0
"539";3
"540";0
"541";4
"542";2
"543";0
"544";4
"545";4
"546";4
"547";4
"548";4
"549";5
"550";5
"551";4
"552";4
"553";4
"554";0
"555";0
"556";0
"557";1
"558";2
"559";2
"560";2
"561";3
"562";1
"563";0
"564";1
"565";3
"566";5
"567";5
"568";5
"569";2
"570";3
"571";2
"572";1
"573";5
"574";0
"575";0
"576";4
"577";2
"578";5
"579";0
"580";4
"581";5
"582";1
"583";4
"584";2
"585";0
"586";1
"587";1
"588";5
"589";5
"590";2
"591";2
"592";5
"593";2
"594";1
"595";1
"596";4
"597";3
"598";1
"599";3
"600";4
"601";5
"602";0
"603";2
"604";2
"605";1
"606";2
"607";2
"608";2
"609";1
"610";2
"611";1
"612";2
"613";3
"614";1
"615";1
"616";2
"617";4
"618";2
"619";4
"620";1
"621";2
"622";2
"623";3
"624";5
"625";1
"626";3
"627";5
"628";1
"629";2
"630";2
"631";5
"632";5
"633";1
"634";3
"635";3
"636";2
"637";1
"638";1
"639";2
"640";2
"641";4
"642";4
"643";3
"644";0
"645";0
"646";3
"647";5
"648";5
"649";1
"650";5
"651";2
"652";1
"653";2
"654";3
"655";1
"656";3
"657";5
"658";3
"659";3
"660";1
"661";2
"662";1
"663";4
"664";1
"665";4
"666";0
"667";5
"668";5
"669";4
"670";2
"671";2
"672";1
"673";3
"674";2
"675";3
"676";3
"677";1
"678";2
"679";3
"680";0
"681";0
"682";0
"683";0
"684";0
"685";3
"686";3
"687";2
"688";3
"689";0
"690";0
"691";0
"692";0
"693";0
"694";0
"695";2
"696";3
"697";2
"698";2
"699";3
"700";0
"701";3
"702";0
"703";3
"704";3
"705";3
"706";0
"707";3
"708";1
"709";3
"710";3
"711";3
"712";3
"713";3
"714";3
"715";5
"716";3
"717";1
"718";1
"719";1
"720";2
"721";1
"722";1
"723";5
"724";2
"725";1
"726";3
"727";1
"728";3
"729";5
"730";3
"731";1
"732";0
"733";4
"734";1
"735";1
"736";4
"737";4
"738";1
"739";5
"740";5
"741";5
"742";4
"743";5
"744";5
"745";5
"746";4
"747";3
"748";2
"749";4
"750";3
"751";4
"752";4
"753";1
"754";2
"755";4
"756";5
"757";4
"758";4
"759";1
"760";3
"761";3
"762";4
"763";4
"764";1
"765";2
"766";3
"767";4
"768";3
"769";4
"770";5
"771";2
"772";4
"773";1
"774";2
"775";1
"776";1
"777";4
"778";0
"779";5
"780";4
"781";4
"782";4
"783";0
"784";0
"785";1
"786";2
"787";2
"788";3
"789";5
"790";3
"791";2
"792";4
"793";2
"794";4
"795";4
"796";4
"797";2
"798";2
"799";4
"800";1
"801";2
"802";3
"803";3
"804";3
"805";3
"806";2
"807";1
"808";2
"809";5
"810";0
"811";4
"812";4
"813";1
"814";5
"815";2
"816";0
"817";2
"818";5
"819";5
"820";5
"821";0
"822";0
"823";4
"824";0
"825";1
"826";5
"827";1
"828";2
"829";2
"830";2
"831";2
"832";2
"833";5
"834";5
"835";5
"836";2
"837";2
"838";1
"839";1
"840";1
"841";0
"842";1
"843";1
"844";4
"845";1
"846";5
"847";1
"848";2
"849";4
"850";1
"851";1
