de;112;117;80;153;96
la;113;114;78;146;91
être;97;112;60;150;67
le;56;83;48;80;45
les;56;78;38;90;41
et;65;89;48;88;45
à;56;72;48;83;54
l;45;57;42;88;36
une;67;73;35;75;49
des;48;65;45;76;47
en;50;70;47;69;45
avoir;38;53;44;90;36
un;53;66;32;75;23
d;39;57;33;83;37
ne;41;52;37;69;24
que;42;56;21;69;29
par;44;37;19;55;23
dans;49;48;24;57;27
qui;39;43;27;52;31
pouvoir;45;46;29;58;24
pour;37;51;25;41;22
du;20;32;30;30;23
s;25;20;29;68;22
pas;32;32;26;44;17
e;15;21;18;56;12
il;25;26;23;31;16
se;26;25;14;50;20
ce;29;39;13;31;14
cette;18;28;17;36;25
1;0;1;1;11;3
c;20;21;13;34;8
plus;27;12;15;33;23
au;21;31;15;28;18
on;14;28;9;41;7
nous;12;20;7;47;13
faire;20;26;17;25;10
8;0;0;0;7;0
ou;26;26;17;26;9
comme;23;30;8;24;15
mais;18;24;11;28;8
elle;17;20;7;21;10
qu;9;20;14;32;9
avec;18;12;10;13;18
t;6;10;5;37;8
donc;21;15;9;28;6
2;0;1;0;7;1
même;11;16;16;16;5
sur;9;16;5;23;9
ainsi;9;17;15;15;7
bien;14;13;8;19;3
son;10;14;8;13;9
si;9;15;14;17;3
ces;10;12;15;18;3
tout;8;8;12;18;7
sans;8;9;5;14;6
leur;6;11;13;9;7
contre;9;14;10;7;5
non;7;8;7;15;3
elles;8;11;3;14;1
aux;4;10;9;12;8
alors;6;8;11;14;8
cela;6;9;9;12;4
aussi;7;11;7;19;3
b;0;1;1;10;0
6;0;0;0;4;0
9;0;0;0;3;0
force;9;8;13;4;3
car;4;14;6;8;6
u;3;5;3;20;1
entre;6;4;4;10;4
ses;9;5;2;5;5
sa;6;6;3;9;4
y;9;8;5;6;0
lors;4;7;4;4;8
autre;6;11;2;4;0
lui;4;3;5;7;3
devoir;6;4;8;5;3
m;1;0;1;19;0
vouloir;1;6;4;6;4
très;4;4;4;9;6
dire;2;5;2;10;4
1789;1;1;1;6;16
deux;6;1;3;8;4
celle;3;4;4;8;3
souvent;5;9;1;6;2
point;3;8;2;8;0
o;1;5;1;11;2
encore;7;0;2;10;3
cependant;4;8;3;5;4
où;3;6;5;5;4
ils;6;2;1;4;4
toujours;5;5;4;6;0
personne;6;5;4;3;4
autres;2;4;5;6;4
ici;3;7;2;7;1
tous;2;5;3;3;3
leurs;7;2;5;3;1
ci;1;3;1;9;3
sous;5;4;1;3;3
toutes;4;4;4;4;1
toute;5;4;0;3;1
certaines;4;2;5;4;0
celui;1;5;1;5;2
peu;1;2;2;8;0
falloir;2;4;4;1;2
f;1;3;3;3;1
ceux;0;3;4;4;1
certains;4;4;2;3;2
puis;1;4;1;3;5
après;0;3;2;2;4
an;2;1;3;8;1
moins;2;3;3;4;1
cet;3;5;1;3;1
parfois;3;6;3;2;0
néanmoins;3;3;5;2;0
différents;3;4;0;4;0
d_abord;4;4;1;1;4
ailleurs;2;2;2;2;4
v;1;2;0;4;3
quelque;5;2;1;5;0
quand;1;2;4;1;1
avant;3;1;2;3;1
afin;3;1;4;2;1
3;1;1;1;3;1
vers;1;4;1;3;2
selon;4;1;0;6;0
savoir;2;0;1;5;2
pourtant;1;2;3;3;2
dont;2;1;1;2;3
plusieurs;1;4;1;5;0
ensuite;2;4;0;4;1
enfin;3;3;2;3;0
5;0;0;1;1;1
me;0;3;3;2;1
lorsque;3;2;0;2;2
je;1;1;2;2;1
fort;0;0;0;5;2
bon;0;2;2;3;1
x;1;3;1;2;2
te;2;2;0;5;0
pa;2;0;1;5;1
