"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"1";0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;0;0;0;2
"3";0;0;0;0;0;0;0;0;2
"4";0;0;0;0;0;0;0;0;1
"5";0;0;0;0;0;0;0;0;2
"6";0;0;0;0;0;0;0;0;2
"7";0;0;0;0;0;0;0;0;1
"8";0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;0;0
"10";0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0
"12";0;0;0;0;0;0;0;0;2
"13";0;0;0;0;0;0;0;0;0
"14";0;0;0;0;0;0;0;0;0
"15";0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;0;0;0;0
"17";0;0;0;0;0;5;5;5;5
"18";0;0;0;0;0;5;5;5;5
"19";0;0;0;0;0;5;5;5;5
"20";0;0;0;0;0;5;5;5;5
"21";0;0;0;0;0;5;5;5;5
"22";0;0;0;0;0;5;5;5;5
"23";0;0;0;0;0;5;5;5;5
"24";0;0;0;0;0;0;0;0;1
"25";0;0;0;0;0;0;0;0;2
"26";0;0;0;0;0;0;0;0;2
"27";0;0;0;0;0;5;5;5;5
"28";0;0;0;0;0;5;5;5;5
"29";0;0;0;0;0;0;4;4;4
"30";0;0;0;0;0;5;5;5;5
"31";0;0;0;0;0;5;5;5;5
"32";0;0;0;0;0;5;5;5;5
"33";0;0;0;0;0;0;4;4;4
"34";0;0;0;0;0;0;0;0;1
"35";0;0;0;0;0;0;0;0;2
"36";0;0;0;0;0;5;5;5;5
"37";0;0;0;0;0;5;5;5;5
"38";0;0;0;0;0;0;0;0;2
"39";0;0;0;0;0;0;0;0;1
"40";0;0;0;0;0;0;0;0;1
"41";0;0;0;0;0;0;0;0;2
"42";0;0;0;0;0;0;0;0;1
"43";0;0;0;0;0;0;0;3;3
"44";0;0;0;0;0;0;0;3;3
"45";0;0;0;0;0;5;5;5;5
"46";0;0;0;0;0;0;0;0;2
"47";0;0;0;0;0;0;0;0;2
"48";0;0;0;0;0;0;0;0;0
"49";0;0;0;0;0;0;0;0;2
"50";0;0;0;0;0;0;0;0;2
"51";0;0;0;0;0;0;0;0;1
"52";0;0;0;0;0;0;0;0;1
"53";0;0;0;0;0;0;0;0;2
"54";0;0;0;0;0;0;4;4;4
"55";0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0
"58";0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;5;5;5;5
"65";0;0;0;0;0;0;0;0;1
"66";0;0;0;0;0;5;5;5;5
"67";0;0;0;0;0;5;5;5;5
"68";0;0;0;0;0;5;5;5;5
"69";0;0;0;0;0;0;4;4;4
"70";0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;5;5;5;5
"72";0;0;0;0;0;5;5;5;5
"73";0;0;0;0;0;5;5;5;5
"74";0;0;0;0;0;5;5;5;5
"75";0;0;0;0;0;0;4;4;4
"76";0;0;0;0;0;0;0;0;1
"77";0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0
