"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"janvier";1,99549346594958;2,67380623912069;0,59810668185684;0,801416494164053;0,454711330266786;0,545288669733215;0,0111329356626989;0,0199879817318356;0,00279581917501828;1,70458653717014;0,00812357486668716
"révolutionnaire";0,620730052635408;-1,39280368322203;0,407072606041701;-0,913395803258597;0,229208693516128;0,77079130648387;0,00107310208767465;0,00540275542925697;0,00278506602434513;0,746833621899843;0,00155339970352714
"société";-1,05247367255146;0,304124935586289;-0,960695443481169;0,277604511624937;0,94717456767536;0,052825432324641;0,00319222141617854;0,000266547482551482;0,00288184438040346;0,62292083712686;0,0011182431392704
"jean";-0,0665043965240709;0,0946432836928633;-0,57493570875182;0,818198588853612;0,425038587358961;0,574961412641038;6,42052015354602e-06;1,30031657813525e-05;0,00145167534087488;0,0587587852884266;5,01204680370275e-06
"travail";-0,997705851014565;0,274678159026446;-0,9641289985844;0,265434123821038;0,951813378696185;0,0481866213038152;0,00256892846612421;0,000194713125844959;0,00258075616155534;0,589065039615925;0,00089551624817681
"consulter";1,41130480318879;2,41163827095288;0,505076339966062;0,863074672787058;0,338942014973206;0,661057985026795;0,00299850934072996;0,00875564412436499;0,00150544109424061;1,39635147478213;0,00293530519331662
"of";-0,0944531401214;0,170463679131938;-0,484666656195167;0,874698938133914;0,314909408490773;0,685090591509225;5,85191982887826e-06;1,90602802281279e-05;0,000655942191061981;0,0969527684227948;6,16575118924995e-06
"liésportail";-1,72018730584821;0,45690679832324;-0,966487629877128;0,256713188781746;0,954997419791466;0,0450025802085348;0,00149549534666505;0,000105508835333108;0,00050539808163792;1,01393770020787;0,00051958443390504
"armée";1,22405127040976;-1,3973191922891;0,658930425108427;-0,752203891818188;0,534642359663823;0,465357640336176;0,00352841016019606;0,00459802252360898;0,00235493999741924;0,964283106804437;0,00218972190529682
"numérique";-1,50954408926022;0,596774225569429;-0,92996541195968;0,367647021691543;0,905477021385803;0,0945229786141975;0,00404307017478577;0,000631887539143175;0,00177426986106929;0,91378435281431;0,00148151860476756
"février";1,59971931313157;0,889006594392427;0,874093793365456;0,485757182551106;0,828995997353063;0,171004002646939;0,00531105276566288;0,00164022340638879;0,00207535807991742;1,01205520572225;0,00212569742472681
"fin";-0,232516621370377;-0,124818131722842;-0,881076399299851;-0,472973972430629;0,83859060987814;0,161409390121862;0,000131386933870811;3,7861649076653e-05;0,00243021205213127;0,146256655523959;5,19846885717902e-05
"régime";0,831378572066876;-0,21900949118095;0,967009908550397;-0,254738761803838;0,955702190264511;0,0442978097354898;0,00169460401803267;0,000117597056301703;0,00245171835347757;0,489862470120654;0,000588327182204154
"isbn";0,311204336905493;-0,0158588451709926;0,998704083592248;-0,0508935498483664;0,998268467515446;0,00173153248455454;6,76924712360875e-05;1,75789206635108e-07;0,00069895479375457;0,179414936598523;2,24991587364228e-05
"économique";-0,716896203666032;0,121611435652575;-0,985915072688197;0,167246732243793;0,981141831341484;0,0188581686585165;0,00126003653960832;3,62592994556491e-05;0,00245171835347757;0,416895316610341;0,000426112830042723
"note";0,135334124924108;-0,52287303746022;0,250570832051293;-0,968098268836962;0,0911550031891393;0,908844996810859;3,58444365042936e-05;0,000535056462870699;0,0019570734225128;0,258198488609876;0,000130471156100448
"permettre";-1,05135974328036;0,0564102612261927;-0,998563693639036;0,0535775115693665;0,998080842104659;0,00191915789534276;0,00253173369806645;7,28838920762564e-06;0,00229042109338036;0,606184902848762;0,000841638447482641
"lire";0,937546061631428;1,58034358373607;0,51022369320457;0,860041733227341;0,345089992988096;0,654910007011905;0,00115313668713744;0,00327641267155579;0,00131188438212396;0,919312283207244;0,00110871950443887
"technique";-1,70294243900241;0,47976214119663;-0,962531583924948;0,271169596280502;0,949655773001914;0,0503442269980863;0,00626803951849168;0,000497489291337698;0,00216138328530259;1,00659204584476;0,00218997308377077
"avril";1,38916122545101;-0,134323207874194;0,995357687243977;-0,0962448671063662;0,993793817412189;0,00620618258781196;0,00352768629565157;3,29827423707939e-05;0,00182803561443503;0,802677592354556;0,00117778747403736
"république";1,20423230603554;-1,54075799588741;0,615807606357591;-0,787896561708537;0,477691393121861;0,522308606878138;0,00266656631919486;0,00436516537833198;0,00183878876510818;1,00362899027585;0,00185215887426213
"octobre";1,01799758922273;-1,05370569473165;0,694815809499201;-0,719187729921729;0,582882939782313;0,417117060217686;0,00187214081680324;0,00200578171218617;0,00180652931308873;0,768055687207055;0,00106568887364387
"national";1,05546643399625;-0,538729159820296;0,890684692098941;-0,454621578085131;0,851778780008836;0,148221219991164;0,00226405195204453;0,000589845814272539;0,00203234547722483;0,658745482706829;0,000881927399850289
"édition";0,134097041280108;0,131245259412924;0,714665178298236;0,699466713237985;0,609821658695215;0,390178341304787;1,8369516598644e-05;1,75965119063695e-05;0,00102154931394899;0,0989132348340707;9,99466280708097e-06
"mars";1,29452860321675;-0,242587638564903;0,982890950817374;-0,184188432865146;0,977082011177487;0,022917988822514;0,00315353083246166;0,000110741681548527;0,00188180136780077;0,754367159984462;0,00107087635071432
"tunisie";2,28241631154289;3,96502023541341;0,498886610247693;0,866667266092107;0,331594577372263;0,668405422627738;0,00957903072694197;0,0289083069690919;0,00183878876510818;2,28311498446718;0,00958489611943589
"septembre";0,995404356404321;-1,20707457863849;0,636218582070367;-0,771508856610455;0,504489582683257;0,495510417316741;0,00165145408486439;0,00242848618167737;0,00166673835433782;0,807253743439108;0,00108614439304863
"mai";1,0109720237476;0,0282024334447033;0,999611123672006;0,0278855057545916;0,999480481925634;0,000519518074366862;0,00172549481643996;1,34279139528429e-06;0,00168824465568412;0,582490183631423;0,000572812656482366
"john";-0,621396697073682;-0,493886399771425;-0,782850444564864;-0,622209917507423;0,703265991749861;0,296734008250141;0,000207607776212999;0,000131147455739591;0,000537657533657362;0,426820985468075;9,79483814550836e-05
"droit";0,756917761677937;-0,384850087651723;0,891396240042532;-0,453224826369911;0,852754722938532;0,147245277061468;0,00107813010387672;0,000278712828981562;0,00188180136780077;0,472142680853088;0,000419488735424638
