"";"classe 1";"classe 2";"classe 3"
"question";-5,4;-3,874;13,073
"long";-4,279;-1,236;7,715
"chinois";110,703;-11,771;-61,932
"paysan";19,686;-17,601;-2,032
"libre";0,251;1,518;-1,785
"chanson";0,803;3,015;-4,274
"part";-8,904;-4,733;19,365
"moyen";-16,61;-9,903;37,595
"i";1,565;-0,886;-0,323
"fr";-6,734;75,624;-12,015
"action";24,309;-1,019;-16,808
"blanc";57,528;-4,868;-34,303
"presse";9,353;7,085;-23,115
"no";-0,084;13,208;-4,936
"bolchevik";129,656;-17,601;-66,986
"période";1,677;-11,564;1,173
"progrès";-50,879;-16,291;94,429
"lien";-10,045;-3,518;19,136
"michel";-0,335;-0,072;0,559
"fer";-30,07;-11,93;59,48
"développer";-25,827;-12,569;54,533
"comité";85,541;-1,224;-67,781
"titre";0,058;-1,799;0,476
"ellul";-27,852;-8,764;51,436
"saint";0,007;-4,868;2,074
"roi";138,407;-13,864;-78,804
"appeler";1,837;2,854;-6,159
"raison";-12,285;-3,755;22,5
"bretagne";-3,654;-16,618;21,782
"françois";-1,398;0,389;0,518
"chine";74,766;-7,551;-42,468
"xviiie";-50,879;-16,291;94,429
"processus";-34,704;-8,846;60,498
"évolution";-32,585;-12,082;63,139
"new";2,157;5,617;-9,368
"libéral";19,269;-8,464;-5,131
"forme";-5,075;-6,802;15,899
"campagne";96,353;-8,464;-56,893
"classe";0,49;-9,231;1,993
"bataille";47,128;-2,409;-31,444
"suivre";11,33;0,502;-14,149
"rôle";-5,104;0,295;3,323
"commencer";0,279;-0,287;-0,021
"affaire";-2,641;141,27;-43,647
"industrialisation";-46,113;-15,801;87,281
"cours";-1,822;0,026;1,444
"trouver";3,643;-8,617;0,027
"principal";2,074;-2,1;-0,162
"internet";-31,705;-0,077;32,122
"com";-12,98;121,681;-16,764
"colonie";1,224;-13,518;2,122
"changement";-6,837;-5,822;17,681
"anglais";-7,014;-9,551;22,132
"soutenir";11,892;0,295;-13,9
"petit";0,319;-7,551;1,804
"information";-16,828;8,926;3,731
"européen";-13,259;12,437;1,237
"commun";24,316;-6,92;-8,903
"ouvrage";-19,81;-1,801;27,596
"cas";0,19;-1,708;0,227
"écrire";2,246;-4,734;0,002
"mondial";-4,81;-5,409;13,95
"marx";-13,468;-14,169;37,97
"historique";-6,957;-0,122;7,873
"scientifique";-43,057;-8,451;70,295
"mois";12,889;9,113;-31,036
"membre";31,611;9,113;-56,965
"militaire";68,205;-5,546;-41,086
"enfant";-11,451;-6,196;25,056
"cause";-4,795;0;4,572
"angleterre";-27,212;-2,088;36,828
"royaume";-2,793;-7,982;12,756
"origine";-0,225;-13,518;8,964
"nécessaire";-10,286;-8,464;26,247
"lénine";100,728;-12,38;-53,838
"culture";-12,749;-2,993;21,757
"soviet";118,631;-13,193;-65,466
"provoquer";0,098;-4,21;1,229
"nord";-7,388;-11,759;25,056
"nom";18,24;-0,324;-14,149
"george";12,219;-0,051;-10,522
"mesure";0,84;-5,273;0,476
"empire";2,402;-10,148;0,472
"conséquence";-1,947;-3,835;7,323
"agir";1,286;-8,464;0,812
"vapeur";-41,815;-10,758;73,073
"marier";1,179;10,893;-11,085
"historien";-0,858;-11,275;10,327
"violence";27,949;2,003;-37,411
"organiser";5,935;19,767;-29,504
"venir";0,49;-0,002;-0,428
"théorie";-12,082;-9,393;30,158
"situation";13,822;0,917;-18,28
"lutte";39,433;-0,065;-35,192
"journal";0,881;30,802;-22,428
"expression";-21,145;-1,353;27,808
"domaine";-21,145;-4,469;35,145
"xxe";-21,528;-12,542;48,331
"présenter";-2,801;0,144;1,867
"lier";-19,865;-6,054;36,355
"galilée";-29,771;-0,614;34,181
"deuxième";0,036;0,003;-0,048
"moderne";-22,704;-13,518;51,361
"terme";-15,501;-0,319;17,794
"démographique";-41,127;-9,186;69,302
"coll";0,064;-1,115;0,232
"capitalisme";-17,585;-10,758;40,166
"autorité";32,977;1,337;-40,724
"vert";-9,93;-3,832;19,475
"particulier";-2,557;-1,789;6,132
"congrès";108,79;-6,648;-70,024
"union";12,593;10,271;-32,022
"encyclopédie";-2,444;-1,147;5,099
"transition";-33,157;66,117;0
"terreur";74,796;-5,67;-45,847
"produire";-8,581;-12,38;27,8
"parler";-7,173;0,413;4,675
"nation";17,132;-9,186;-3,755
"façon";-10,734;-8,921;27,497
"entreprise";-23,757;-4,922;39,295
"demander";41,574;-0,474;-33,604
"région";-14,423;-0,2;16,013
"opposition";4,636;59,342;-54,763
"marquer";-0,381;-5,625;4,992
"ii";17,277;-0,636;-12,202
"ensemble";-11,565;-0,273;13,452
"communisme";9,184;-7,849;-1,036
"retour";0,309;28,838;-17,974
"création";0,014;-1,787;0,649
"réseau";-21,497;-0,548;25,193
"indépendance";32,757;-5,612;-15,481
"croissance";-46,797;-12,867;83,248
"étranger";-6,785;68,346;-9,993
"série";1,75;-2,017;-0,095
"police";0,051;119,03;-59,84
"diriger";25,772;-1,597;-16,539
"vol";-0,068;-0,209;0,323
"single";-5,573;2,924;1,25
"sentir";-5,971;-8,067;18,773
"plan";-1,563;-2,355;5,166
"opposer";10,239;0,654;-13,462
"montrer";-8,052;-2,536;14,873
"esprit";-2,038;-9,506;12,335
"activité";-26,174;-3,067;38,218
"suivant";13,262;1,537;-19,321
"org";-1,264;6,726;-0,48
"mener";16,186;-0,021;-14,537
"haut";0,071;0;-0,065
"fonder";-4,977;-1,993;9,874
"conseil";23,769;10,279;-48,301
"chute";22,947;0,652;-27,198
"revue";0,022;2,665;-1,608
"sortir";5,101;-0,99;-2,284
"oeuvre";-22,658;-10,92;47,688
"libération";1,787;23,592;-21,582
"territoire";-1,786;-3,699;6,887
"marché";-23,195;-11,73;49,606
"financier";-18,689;-2,471;27,954
"etc";-23,195;-9,506;46,346
"déclarer";10,644;5,566;-23,021
"contexte";-2,521;-0,985;4,964
"centre";-11,318;0;10,805
"catégorie";-2,444;-4,633;9,017
"allemand";1,964;-0,755;-0,585
"tour";-1,954;32,288;-6,526
"saison";2,393;0,027;-2,619
"robert";-4,336;-3,817;11,363
"principe";-0,034;-9,026;5,062
"manifestant";-14,807;291,74;-64,366
"majorité";20,293;-7,36;-6,313
"garder";34,911;0,413;-38,304
"1er";3,543;32,664;-33,264
"élément";-5,506;-6,434;16,236
"tunis";-39,926;391,085;-55,898
"source";-7,877;-0,866;11,361
"socialiste";41,135;-1,3;-29,726
"seuil";0;-3,356;1,586
"milieu";-19,244;-1,587;26,359
"marc";0,256;0,007;-0,304
"appel";-1,301;10,383;-1,232
"soviétique";69,093;-5,975;-40,966
"main";-0,238;-0,497;0,922
"journée";71,889;-5,822;-43,35
"décret";89,125;-8,067;-52,204
"convention";92,431;-7,907;-54,959
"bourgeoisie";-2,242;-10,434;13,551
"analyse";-5,083;-4,318;13,132
"thomas";-3,479;-8,655;14,75
"seulement";-5,971;-4,455;14,671
"revenir";0,124;-1,3;0,196
"liste";8,022;-0,694;-4,756
"film";-6,362;-0,006;6,282
"document";1,021;-0,514;-0,239
"amérique";-0,993;-7,687;8,288
"provisoire";55,114;0,998;-62,543
"heure";6,077;-0,425;-3,798
"connexe";-8,153;-3,305;16,236
"site";-12,916;24,983;0,003
"royal";19,495;-9,786;-4,577
"procès";6,57;12,93;-24,699
"estimer";0,124;-6,588;2,031
"député";89,125;-4,455;-59,718
"contrôle";7,624;0,89;-11,123
"chemin";-21,497;-10,596;45,582
"chef";44,438;0,413;-47,968
"catholique";-3,742;6,126;0,031
"auteur";-11,718;-0,433;14,306
"église";-3,086;4,136;0,095
"éducation";5,965;-5,822;-0,509
"troupe";89,125;-4,455;-59,718
"section";-0,031;0,22;-0,023
"page";-21,865;80,345;-2,646
"nicolas";3,07;-1,665;-0,665
"naissance";-2,222;-8,494;11,952
"monarchie";56,473;-8,817;-27,703
"manifester";2,273;11,704;-14,613
"intérieur";9,071;11,704;-27,938
"informatique";-35,473;-7,748;59,442
"gauche";67,507;-2,795;-46,776
"base";-0,08;-3,202;2,276
"association";0,033;0,055;-0,114
"réaliser";-2,587;-4,592;9,243
"puissance";-4,836;-7,589;16,291
"position";0,058;-2,921;0,89
"législatif";21,901;10,383;-45,847
"déclaration";47,61;-3,475;-29,449
"constitutionnel";25,673;9,894;-50,333
"comprendre";-1,729;-0,71;3,457
"changer";-0,127;-2,934;2,328
"cadre";2,494;-3,176;-0,095
"valeur";-2,81;-4,765;9,821
"université";0,987;4,287;-5,724
"traduction";-18,479;-4,904;32,56
"refuser";44,979;0,001;-42,794
"philippe";2,483;0,057;-2,878
"penser";-3,742;-1,589;7,56
"obtenir";0,2;-1,589;0,188
"masse";41,606;-4,598;-23,005
"libéralisme";-23,472;-7,589;43,684
"expliquer";-0,287;-0,003;0,314
"doctrine";-0,289;-4,436;3,896
"w";0,235;-0,637;0,006
"ul";0,235;-0,637;0,006
"ukraine";-3,479;147,339;-42,862
"soutien";10,431;21,416;-40,054
"r";0,504;-3,356;0,327
"province";16,241;-1,097;-10,226
"margin";-3,095;2,916;0,286
"interdire";10,431;0,304;-12,398
"condition";-8,5;-0,71;11,668
"apparaître";-5,483;-6,32;16,072
"âge";-27,03;-5,216;43,95
"seconde";-3,479;-3,067;9,124
"karl";-5,286;-7,271;16,755
"différent";-3,223;-0,037;3,528
"contribuer";-12,089;-8,067;28,493
"travers";-1,713;0,206;0,922
"répression";45,562;-0,057;-40,966
"martin";0,676;5,125;-5,564
"manière";-9,419;1,671;4,386
"jouer";-0,203;-0,715;1,043
"intervention";-0,032;-1,835;1,226
"grève";7,997;29,851;-42,428
"entraîner";-1,496;-0,001;1,478
"courant";-9,174;-3,613;18,105
"bas";3,95;-2,175;-0,841
"albert";-0,703;-0,796;2,045
"affirmer";3,131;-0,787;-1,232
"adopter";10,431;-4,171;-3,008
"wikipédia";-4,334;-1,115;7,573
"vivre";-0,94;-0,866;2,509
"victime";20,856;1,354;-27,489
"texte";4,828;-0,261;-3,186
"sud";0,863;-0,636;-0,125
"père";2,6;-3,509;-0,077
"pratique";-3,086;-1,693;6,785
"noir";18,46;-4,436;-7,441
"mccartney";-1,856;-0,478;3,244
"garde";91,217;-8,978;-52,197
