"";"classe 1";"classe 2";"classe 3"
"technologique";-21,75;-5,596;38,009
"secteur";-20,482;-6,078;37,206
"robespierre";48,696;-4,793;-27,866
"protestation";0,007;68,571;-33,466
"moitié";-6,82;-6,238;18,15
"mfa";54,971;-5,917;-30,639
"formation";-1,39;-1,097;3,49
"consacrer";-0,176;-4,281;3,361
"conception";-19,861;-5,917;36,118
"chercher";0,398;-0,992;0,005
"avortement";-0,068;46,573;-19,779
"art";0,123;-2,598;0,591
"arabe";-16,76;64,543;-2,41
"ami";7,038;0,057;-7,53
"travailleur";0,182;-2,04;0,323
"transport";-6,82;-6,238;18,15
"sécurité";-0,23;12,547;-3,895
"socialisme";1,131;-3,356;0,052
"réel";-3,039;-0,001;2,964
"rue";0,688;21,375;-15,93
"recevoir";1,355;-1,097;-0,169
"propriétaire";-3,805;-1,206;7,042
"profit";-15,469;-2,448;24,039
"produit";-12,402;-2,311;20
"mémoire";0,321;-0,157;-0,077
"géorgie";0,696;23,161;-17,029
"girondin";47,067;-4,633;-26,933
"genre";-0,573;0,666;0,03
"enquête";-0,098;31,572;-12,711
"don";0,148;0,549;-0,782
"dominer";0,007;-5,756;2,47
"destruction";-0,213;-1,43;1,618
"copernic";-19,878;-5,114;34,737
"contrôler";2,835;-4,126;-0,057
"contraception";-9,559;0,555;6,219
"cinéma";-5,924;-2,748;12,313
"archive";0,355;14,618;-10,326
"apporter";-0,259;-2,311;2,379
"accès";-11,255;6,029;2,47
"accuser";1,831;24,665;-22,44
"éviter";0,245;-0,01;-0,169
"zone";-1,393;-2,598;5,099
"violent";9,043;0,009;-8,945
"trotski";46,976;-6,078;-24,678
"traduire";-15,732;-1,907;23,124
"souhaiter";0,019;-0,602;0,159
"scène";2,915;-0,004;-2,615
"religion";0,941;-5,917;0,536
"publication";-4,059;0,057;3,223
"petrograd";55,219;-5,435;-31,598
"officiel";8,022;4,682;-18,021
"objectif";6,264;-0,01;-5,587
"nouvel";-1,39;36,493;-9,088
"notion";-14,871;-6,078;29,688
"modifier";-1,385;0,009;1,163
"ministère";0,047;36,045;-18,898
"marcher";14,142;0,832;-18,368
"justice";1,714;27,349;-23,771
"juger";11,262;1,168;-16,065
"installer";1,355;-1,097;-0,169
"humanité";-6,613;-1,907;11,918
"corps";0,245;-1,097;0,058
"compagnie";-2,444;-4,633;9,017
"chronologie";7,067;-0,157;-5,348
"canada";19,385;-1,029;-12,84
"bande";22,269;-0,063;-19,504
"andré";1,298;0,369;-2,331
"absence";-9,609;0,194;7,351
"xviie";-19,24;-5,756;35,03
"tiers";6,094;-5,114;-0,711
"semaine";4,515;21,726;-27,849
"secret";6,014;0,176;-7,148
"pousser";0,736;0,057;-0,996
"pilule";-13,302;-0,431;15,996
"personnalité";2,6;6,541;-11,088
"pascal";-1,851;-0,314;2,922
"it";-0,03;0,974;-0,261
"henry";-1,121;-5,435;6,947
"fonction";-0,686;-0,157;1,163
"daniel";-3,525;45,345;-7,91
"conservateur";0,398;-0,992;0,005
"conscience";-0,201;-3,051;2,686
"connaissance";-6,816;-4,472;15,967
"compter";1,017;0,833;-2,59
"commons";-2,376;-0,165;3,165
"cité";-2,147;-2,004;5,761
"chrétien";10,225;-3,051;-3,636
"choisir";1,714;0,846;-3,636
"augmenter";-7,622;-5,917;19,014
"améliorer";-5,424;-2,598;11,392
"volonté";1,131;-1,775;-0,014
"vide";0,061;-0,295;0,018
"universel";0,594;-5,756;0,815
"trouble";-0,497;13,412;-3,374
"tome";0,353;-0,956;0,009
"susciter";-0,068;0,264;-0,01
"sidi";-21,126;214,634;-31,598
"réduire";-3,513;-0,79;5,929
"remettre";1,243;-5,756;0,323
"présidence";-7,995;147,698;-31,598
"protéger";3,846;-0,157;-2,671
"posséder";-0,861;-4,793;5,81
"porte";0,127;4,682;-3,374
"pape";-7,468;7,688;0,559
"oclc";1,029;0,974;-2,777
"occuper";3,249;15,301;-19,779
"militant";7,067;6,541;-18,898
"journaliste";2,128;8,648;-11,863
"génération";-1,112;-2,899;4,833
"georges";-1,186;0,341;0,431
"fédéral";26,689;-1,645;-17,146
"extérieur";-0,899;-2,04;3,633
"envoyer";16,428;-3,509;-7,031
"emmanuel";-12,404;53,614;-2,619
"eau";-12,497;-5,435;25,441
"disque";-1,856;0,974;0,416
"direct";0,123;-0,281;0,001
"céréale";-11,908;-5,274;24,384
"croissant";-8,528;-5,596;19,977
"conférence";22,272;-0,004;-20,671
"alain";1,416;1,026;-3,442
"accepter";9,072;0,057;-9,568
"washington";20,262;-0,018;-18,368
"vague";-0,468;-2,899;3,379
"sr";48,46;-5,274;-26,919
"quitter";0,127;21,726;-12,652
"philadelphie";20,262;-2,899;-10,272
"perdre";2,366;-0,431;-1,089
"out";-0,296;-0,637;1,164
"léon";0,041;-4,793;1,721
"jacobin";35,539;-4,472;-18,846
"is";0,014;5,835;-3,158
"http";-12,437;45,345;-1,461
"history";0,064;-1,115;0,232
"foule";17,065;2,06;-25,062
"exprimer";-0,017;4,265;-1,678
"ennemi";23,108;-3,203;-11,85
"employé";-6,946;-3,051;14,185
"difficulté";0,019;-1,645;0,559
"demeure";-5,634;-3,203;12,541
"composer";9,29;-0,157;-7,245
"code";1,772;-0,004;-1,565
"bouzid";-20,502;208,294;-30,665
"arriver";15,42;-0,041;-13,541
"appliquer";0,127;-5,435;1,586
"émission";-3,634;-1,518;7,304
"urbain";0,256;-4,472;0,93
"tension";2,009;2,77;-6,375
"simple";-0,468;-4,953;4,833
"santé";-11,908;1,567;6,219
"réunir";8,027;0,684;-11,057
"près_de";0,019;-0,602;0,159
"propagande";24,463;-4,633;-11,074
"plutôt";0,249;-3,203;0,559
"percevoir";-0,098;-2,899;2,184
"opération";21,679;-0,514;-16,276
"opinion";-0,001;7,362;-3,379
"mécanique";-17,999;-5,435;32,856
"meilleur";-12,094;-1,147;16,975
"littérature";-0,213;-1,43;1,618
"guy";0,391;-0,235;-0,075
"fayard";0,007;-0,796;0,286
"facteur";-9,559;-5,274;21,058
"essentiellement";-1,386;-3,051;5,513
"dépêcher";-12,437;143,351;-23,206
"définir";0;-1,775;0,838
"disposer";-0,007;-1,518;0,864
"descartes";-14,286;-4,472;26,345
"critiquer";2,009;-0,111;-1,32
"couplet";9,189;-2,552;-3,415
"couleur";1,017;10,505;-10,326
"construire";-8,447;-4,953;19,007
"communication";-9,003;0,007;8,174
"communauté";-0,468;-4,953;4,833
"climat";-7,354;2,664;2,29
"bilan";-1,109;45,345;-13,063
"actuel";-3,787;-0,281;5,099
"univers";-16,138;-4,152;28,201
"télévisé";-6,336;0,499;3,847
"traditionnel";-10,737;-2,899;19,007
"rendement";-19,254;-4,953;33,647
"portugais";17,474;-4,633;-6,672
"philosophe";-17,379;-5,274;31,769
"particulièrement";-3,634;-1,518;7,304
"moscou";37,385;-0,514;-29,731
"mine";-12,437;-2,004;19,405
"milice";17,067;-0,165;-13,974
"michael";-2,573;-0,757;4,663
"majeur";-11,908;-0,602;15,136
"issue";6,094;-0,514;-3,636
"fils";0,001;1,925;-0,962
"ferro";10,362;-0,295;-7,597
"faible";-7,898;-2,748;15,017
"fabriquer";-18,007;-1,147;23,667
"empêcher";0,249;14,339;-9,568
"effort";2,366;-2,899;-0,104
"colon";8,027;-5,114;-1,435
"battre";6,054;9,775;-20,671
"technicien";-16,76;-5,114;30,683
"répandre";-8,447;-2,899;15,996
"rejoindre";6,011;1,925;-11,157
"profond";-4,933;-2,448;10,484
"multiplier";2,915;-2,748;-0,269
"monter";23,734;-4,953;-10,272
"marxiste";-0,098;-4,953;3,379
"mark";-4,954;-0,01;4,992
"list";-2,475;-0,637;4,326
"impliquer";-6,816;-2,448;13,082
"idéal";0,041;-2,748;0,895
"frontière";5,194;-0,431;-3,112
"froid";18,861;-4,793;-7,375
"exécutif";10,225;5,624;-22,501
"essor";-18,007;-4,633;31,468
"décennie";-2,03;-4,953;8,519
"division";-2,825;-4,793;9,877
"dissolution";1,89;35,699;-29,731
"continental";16,106;-4,472;-5,985
"chanter";0,471;-0,01;-0,357
"centaine";5,194;9,024;-18,368
"capitaliste";-4,233;-4,793;12,313
"besoin";-2,03;-4,953;8,519
"bateau";-13,648;-3,511;23,85
"atelier";-9,003;-4,472;19,139
"égalité";16,106;-2,448;-7,983
"web";-16,761;0,525;12,128
"vf";-0,296;-0,637;1,164
"télévision";-0,439;5,228;-0,866
"textile";-3,525;-2,004;7,847
"suisse";-4,933;0,405;2,966
"situer";-0,304;-0,354;0,895
"revanche";-0,304;-4,793;4,179
"retrouver";5,134;-1,147;-2,149
"renforcer";1,248;-1,147;-0,122
"qualifié";-6,431;0,832;3,379
"pression";0,334;17,553;-11,889
"pp";-0,553;0,702;0,021
"olivier";-9,106;0,176;7,002
"officier";43,584;-4,793;-24,134
"none";0,007;0,166;-0,13
"mourir";-0,031;13,381;-5,52
"magazine";-14,892;56,971;-2,091
"libertaire";0,49;-0,401;-0,06
"lettre";-0,274;-4,312;3,76
"lent";-8,055;-2,072;14,076
"intervenir";2,807;-1,029;-0,866
"futur";1,017;-0,063;-0,652
"figure";-0,032;0;0,033
"famine";6,054;-4,793;-0,783
"el";-18,007;168,615;-23,207
"directement";-2,242;-0,401;3,58
"concurrence";-12,094;-4,633;23,667
"concevoir";-9,578;-4,633;20,182
"clément";-0,03;-0,478;0,416
"central";23,734;-4,953;-10,272
"bénéficier";-0,098;-0,431;0,574
"arme";15,167;-2,004;-7,91
"alimentaire";-5,924;-2,748;12,313
"acier";-14,27;-3,671;24,937
"évoquer";-1,393;23,773;-4,887
"éthique";-13,026;-3,351;22,763
"travailler";-9,106;-1,859;15,007
"taux";-8,515;-3,671;17,287
"staline";30,617;-3,511;-16,734
"route";2,915;-0,004;-2,615
"richesse";-12,094;-4,633;23,667
"renverser";6,054;-0,354;-3,934
"rcd";-14,904;168,615;-26,933
"prévoir";7,015;1,191;-11,074
"présentation";-0,016;1,706;-0,603
"protestant";-1,109;-2,004;3,997
"productivité";-18,63;-4,793;32,557
"prisonnier";10,326;4,257;-20,671
"plante";-14,286;-4,472;26,345
"perte";0,911;-4,793;0,336
"peine";9,19;-1,147;-4,887
"original";-5,614;-1,018;8,995
"newton";-14,892;-3,831;26,025
"métier";-12,697;-2,748;21,228
"montagnard";38,714;-4,312;-21,354
"liu";38,714;-4,312;-21,354
"japy";-13,648;-3,511;23,85
"issu";0,445;-0,157;-0,142
"indiquer";-1,701;1;0,336
"importer";-1,107;-2,448;4,414
"idéologique";0,445;-2,299;0,156
"fait";0,123;0,303;-0,52
"entier";-1,393;-1,147;3,556
"doter";-2,825;-1,268;5,81
"divers";-0,001;1,191;-0,52
"difficile";-3,354;0,007;2,966
"caractériser";-5,924;-1,268;9,877
"camp";32,331;-4,152;-17,029
"bloc";20,943;-0,757;-14,834
"anarchiste";32,331;-4,152;-17,029
"actif";0,123;-0,281;0,001
"élire";11,866;0,027;-11,995
"toucher";0,803;1,407;-2,851
"symbole";-2,936;1,651;0,611
"soir";-1,107;60,654;-18,846
"sociologie";-10,594;0,369;7,545
"qualifier";-3,354;1,407;0,93
"pétrole";-7,927;-3,511;16,232
"précis";-1,409;-0,803;3,139
"propos";-0,115;8,635;-2,87
"progressivement";-1,393;-2,598;5,099
"plein";0,034;2,235;-1,461
"pdf";-5,243;62,38;-10,326
"parvenir";1,248;-2,598;0,001
"occident";0,592;-3,831;0,36
"minute";-2,818;7,661;-0,075
"marchand";-5,76;-2,151;11,185
"manufacture";-16,761;-4,312;29,29
"lin";27,539;-0,493;-21,344
"limite";-2,444;-2,598;6,919
"lever";2,7;0,06;-3,123
"italie";1,132;-0,914;-0,142
"fondation";-5,76;1,925;1,9
"financer";-0,172;-0,281;0,591
"fermer";3,545;-0,281;-2,149
"familial";-0,052;-0,063;0,156
"faction";45,438;-4,472;-26,001
"fabrication";-13,669;-4,312;25,262
"extrême";16,106;-1,029;-10,268
"expérience";-0,172;-4,633;3,556
"entrée";-0,115;1,25;-0,194
"enseignement";1,534;0,667;-3,123
"démission";-10,893;129,247;-21,354
"domestication";-14,27;-3,671;24,937
"club";19,338;-2,392;-10,315
"clair";6,014;1,026;-9,503
"bureau";3,451;12,43;-17,936
"autoriser";3,451;0,027;-3,686
"ampleur";-1,393;4,72;-0,122
"amener";5,082;-2,299;-1,318
"alexandre";1,79;-0,314;-0,837
"administration";1,653;3,015;-5,985
"accorder";0,256;-1,029;0,043
"abus";-16,761;83,317;-5,316
"électronique";-7,927;-3,511;16,232
"électoral";6,011;9,61;-20,428
"économiste";-16,761;-4,312;29,29
"échange";-9,699;-0,695;12,983
"vincent";0,564;0,221;-1,112
"vieux";1,534;-4,152;0,04
"type";-11,493;-2,448;19,139
"sorte";-3,354;-1,029;6,151
"signer";5,082;0,525;-7,245
"sexe";-4,735;-3,831;12,004
"roman";-0,355;-1,153;1,74
"rené";0,789;-3,351;0,158
"relatif";-5,76;-2,151;11,185
"quotidien";0,256;-0,216;-0,03
"présent";-0,83;0,503;0,158
"présence";0,185;6,397;-4,668
"protection";-0,052;0,109;0
"prague";32,331;-0,803;-24,137
"phase";-5,243;-2,004;10,254
"nuit";24,768;-0,031;-22,275
"nbc";1,244;1,706;-3,939
"menace";-0,143;-0,803;0,971
"marxisme";-5,646;-1,571;10,076
"manquer";0,185;0,06;-0,345
"interview";-3,941;8,759;-0,012
"fortement";-14,286;-2,448;22,598
"figaro";-13,053;136,022;-20,428
"exception";-1,142;-1,153;3,165
"enjeu";-9,106;-0,031;9,336
"effectuer";-6,743;-0,031;7,002
"département";10,849;-0,031;-9,503
"domestiquer";-13,669;-4,312;25,262
"distinguer";-13,669;-2,299;21,532
"denis";-1,407;2,238;0,015
"danton";22,551;-0,886;-15,763
"contraceptif";-12,437;-3,992;23,098
"complexe";-6,285;-2,299;12,128
"commander";6,011;-4,152;-0,962
"coalition";27,386;-1,29;-18,552
"centrale";-1,733;1,651;0,156
"bâtiment";1,653;0,007;-1,715
"bernard";-0,553;-0,514;1,48
"attaquer";22,269;-0,063;-19,504
"anarchisme";-1,142;0,068;0,739
"al";-1,483;36,252;-8,778
"2e";2,013;0,333;-3,158
"élite";14,757;-2,299;-7,245
"ébauche";-8,676;-2,232;15,161
"xxie";-9,918;-0,757;13,412
"william";-11,16;-2,871;19,503
"vrai";0,676;2,548;-3,607
"vaste";-2,936;-4,312;9,59
"utopie";-13,648;-3,511;23,85
"tourner";-2,242;-1,571;5,38
"tendance";-0,846;-2,299;3,76
"solution";3,451;-0,914;-1,318
"soleil";-6,743;-0,592;9,336
"sans_culotte";38,926;-3,831;-22,275
"réussir";1,132;-2,299;0
"réserve";-7,342;-0,314;9,13
"rose";-6,185;79,896;-13,974
"renversement";10,629;3,835;-20,428
"quatrième";0,789;-3,351;0,158
"policier";11,866;1,651;-17,936
"pièce";-3,081;-0,592;5,004
"philosophique";-12,437;-3,992;23,098
"nourriture";-7,864;-0,803;11,185
"naturel";-9,699;-3,992;19,405
"maître";1,534;-2,151;-0,038
"libre_échange";-11,208;-3,671;20,937
"juridique";0,185;-2,151;0,35
"ingénieur";-11,208;-0,493;13,986
"fonctionner";-11,822;-1,859;18,344
"existence";-2,532;-4,152;8,71
"espagnol";1,416;-0,592;-0,394
"eric";-3,095;0,166;2,045
"environnement";-16,761;-4,312;29,29
"détruire";0,592;-0,592;-0,048
"décisif";-0,274;-4,312;3,76
"domination";-12,437;-3,992;23,098
"dater";-9,699;-0,695;12,983
"cour";0,001;28,982;-13,938
"concerner";-2,147;-0,695;3,997
"collection";-2,475;-0,637;4,326
"bouleversement";-13,648;-3,511;23,85
"berlin";10,629;0,06;-11,157
"avènement";-4,453;-4,312;12,128
"asie";-0,592;-0,493;1,517
"amour";-0,382;-0,401;1,076
"acquérir";0,445;-0,914;0
"abolition";13,429;-4,152;-4,668
"éclater";0,185;23,161;-13,938
"révéler";-1,437;5,437;-0,194
"réprimer";27,897;-0,106;-24,137
"rédiger";10,629;-0,803;-6,521
"retirer";4,127;1,026;-7,148
"relever";-0,613;-0,803;1,9
"profiter";-1,409;-2,151;4,686
"patriote";29,133;-3,831;-15,219
"patrick";-1,437;-1,714;4,276
"parlementaire";4,192;9,61;-17,029
"pacifique";7,063;4,314;-16,123
"outil";-7,864;-4,152;17,064
"offrir";-2,242;-1,571;5,38
"observateur";-13,053;136,022;-20,428
"numéro";0,49;1,509;-2,331
"net";0,391;2,151;-2,619
"montréal";7,563;0,221;-8,99
"mobiliser";0,185;3,835;-3,123
"misère";-0,143;-4,152;3,139
"mission";25,947;-3,511;-13,42
"maison";17,101;1,026;-22,275
"limiter";0,696;-0,803;-0,038
"grave";10,629;-2,151;-4,668
"exécuter";32,331;-4,152;-17,029
"définition";-2,147;-3,992;7,847
"distribution";-7,927;-3,511;16,232
"deng";33,853;-3,831;-18,58
"debord";1,677;-3,031;-0,004
"corruption";-7,864;87,974;-13,938
"confédération";15,669;-1,714;-8,691
"clé";-2,653;-1,714;6,179
"clergé";35,672;-3,511;-20,413
"cesse";-0,143;-4,152;3,139
"caractère";-1,409;-2,151;4,686
"candidat";-2,532;58,781;-13,938
"canal";-6,191;-3,671;13,986
"application";0,121;-3,831;1,019
"allié";27,539;-0,493;-21,344
"agraire";-0,613;-4,152;4,686
"évoluer";-9,982;0,006;9,13
"étape";-6,743;-0,031;7,002
"émancipation";0;-3,351;1,618
"élu";37,299;-3,671;-21,344
"élevé";-7,301;-2,004;12,983
"vision";-10,594;-0,401;12,971
"village";4,072;0;-3,818
"tendre";-3,277;6,834;-0,002
"sang";24,768;-1,859;-15,219
"riche";-2,147;-2,004;5,761
"preuve";-1,109;-0,063;1,434
"nucléaire";5,019;-3,031;-0,96
"message";0,348;0,03;-0,48
"massif";5,041;-2,004;-1,461
"inégalité";-9,37;-1,29;14,133
"investissement";-12,437;-3,992;23,098
"indépendant";3,274;5,437;-11,33
"industrialisme";-13,026;-3,351;22,763
"généralement";-7,301;-2,004;12,983
"gouverneur";10,849;1,026;-15,219
"ghannouchi";-14,27;144,98;-21,344
"gagner";20,757;-3,831;-9,503
"fédération";12,576;0,341;-14,834
"espace";-2,653;0,261;1,517
"dérouler";1,061;-1,018;-0,094
"déposer";-0,243;1,026;-0,048
"débuter";0,034;-0,695;0,156
"duplessis";32,421;-3,191;-18,552
"drapeau";8,391;0,369;-10,472
"consommation";-15,515;-3,992;27,113
"conserver";-0,382;0,369;0,033
"chômage";-11,822;0,176;9,336
"avis";3,065;0,221;-4,106
"arrestation";13,798;1,026;-18,58
"apple";-5,573;-1,434;9,74
"accroître";-7,301;-3,992;16,033
"abandonner";3,36;0,109;-4,042
"werth";4,589;-1,274;-1,705
"watt";-13,648;-3,511;23,85
"voter";24,359;-1,43;-15,813
"vivant";-3,402;-0,514;5,232
"unité";6,014;-3,831;-1,075
"tribunal";15,669;-0,009;-14,318
"succéder";4,127;-1,859;-1,075
"subir";0,121;4,845;-3,442
"slogan";0,068;9,545;-5,671
"roger";-1,856;0,974;0,416
"revendication";2,595;11,488;-15,219
"responsabilité";1,904;-3,671;0
"refus";0;-1,43;0,697
"pédophilie";-10,594;98,289;-13,42
"prêt";3,195;0,503;-4,96
"protectionnisme";-12,404;-3,191;21,676
"personnel";-0,355;-0,165;0,739
"nécessité";0,592;-1,859;0,036
"mutation";-13,648;-1,571;19,858
"morceau";-3,714;1,949;0,833
"min";-0,296;0,429;0,006
"maintenir";2,595;1,026;-5,127
"km";-3,549;-1,018;6,385
"jefferson";2,298;-2,871;-0,094
"investir";-0,83;0,006;0,697
"infrastructure";-5,646;-3,511;12,971
"germinal";16,29;-3,351;-7,099
"franklin";-2,112;-2,392;6,144
"financement";-11,822;7,814;2,012
"exécution";37,299;-3,671;-21,344
"extension";-3,081;-0,592;5,004
"espagne";0,592;-3,831;0,36
"environnemental";-13,026;-3,351;22,763
"enregistrement";4,852;-0,478;-2,777
"désir";0,902;-1,714;0
"droite";18,59;-3,191;-8,778
"do";11,328;-1,115;-6,482
"correspondre";-8,76;-1,153;13,09
"contraindre";-0,243;-0,031;0,36
"conquête";7,22;-0,314;-4,96
"commandement";27,539;-1,714;-17,656
"citer";-5,646;-0,401;7,545
"autonomie";-1,781;-3,831;7,002
"aspect";-1,483;-1,29;3,868
"antoine";10,362;-1,913;-4,744
"accompagner";-1,119;-3,511;5,38
"établissement";1,79;0,503;-3,203
"équilibre";0,192;-3,351;0,697
"xvie";-9,37;-3,191;17,704
"world";1,063;0,002;-1,066
"uni";3,195;-1,43;-0,837
"tournant";-3,751;-1,571;7,545
"théologien";-12,404;-3,191;21,676
"taille";-14,27;-3,671;24,937
"suprême";1,79;10,557;-12,526
"spectacle";4,072;-1,571;-1,208
"smith";-13,648;-3,511;23,85
"réunion";12,451;0,261;-14,318
"réflexion";-11,16;-1,018;15,554
"rappeler";-0,592;2,975;-0,194
"professeur";0,192;1,807;-1,829
"port";-0,032;-3,511;2,146
"phrase";-4,546;-1,913;9,158
"opposant";5,014;12,569;-21,344
"officiellement";8,391;0,369;-10,472
"occasion";3,274;0,261;-4,461
"nam";24,359;-3,351;-12,526
"modéré";27,539;-3,671;-14,318
"kirghize";-0,182;42,694;-16,693
"justifier";3,274;-3,671;-0,194
"jasmin";-7,544;92,97;-15,763
"interprétation";-1,142;-3,031;5,012
"interprète";5,177;-0,956;-2,37
"instaurer";3,274;-3,671;-0,194
"immédiat";19,256;-0,493;-14,318
"hypothèse";-7,927;-3,511;16,232
"gouverner";5,005;0,006;-4,96
"from";-0,03;7,101;-2,777
"forcer";14,255;-0,401;-10,472
"fondamental";-0,592;-1,714;2,722
"faveur";9,603;-0,009;-8,691
"exploitation";-9,982;-3,351;18,781
"exode";-13,026;-1,43;18,781
"espoir";0,902;1,25;-2,87
"durable";-5,107;-1,43;9,13
"diviser";4,072;-0,401;-2,331
"disparition";-1,142;-3,031;5,012
"différence";-0,573;-3,191;3,868
"diffusion";-0,355;-3,031;3,165
"célèbre";0,271;-3,671;0,662
"cuba";24,359;-3,351;-12,526
"coût";-3,751;-1,571;7,545
"construction";-7,927;-1,571;12,971
"comte";0,208;-2,552;0,431
"comportement";-5,107;-3,351;11,964
"complot";8,58;4,483;-18,552
"chambre";30,617;-1,571;-20,413
"cardinal";-5,107;33,513;-3,203
"caractéristique";-8,515;-0,493;11,034
"capitaine";4,284;-0,118;-3,158
"bois";-3,549;-0,104;4,221
"be";-4,334;19,696;-1,066
"bastille";17,067;-0,165;-13,974
"baser";-7,927;-3,511;16,232
"baisser";-7,927;0;7,545
"avocat";-1,851;49,83;-12,526
"attaque";12,451;-0,009;-11,33
"apprendre";2,492;-0,401;-1,208
"agent";0,789;0,503;-1,829
"adoption";-1,851;-1,43;4,609
"achever";-0,037;-2,232;1,48
"échelle";-2,376;-3,031;7,282
"viêt";22,775;-3,191;-11,635
"vatican";-6,185;57,814;-7,945
"ugtt";-3,751;86,372;-20,413
"tsariste";14,255;-3,511;-5,671
"traitement";-5,646;-3,511;12,971
"train";0,122;-0,165;-0,004
"session";2,293;0,429;-3,703
"scandale";-0,382;31,038;-10,472
"regrouper";1,061;-0,104;-0,607
"rebelle";20,943;-0,757;-14,834
"préparer";6,039;0,369;-7,889
"portant";-1,119;3,418;-0,06
"physique";-13,648;-1,571;19,858
"personnage";-5,736;-0,514;7,969
"ouvertement";14,255;0;-13,42
"mythe";-0,121;-1,913;1,668
"moyenne";-7,927;-0,401;10,076
"mauvais";-1,119;-0,401;2,146
"maurice";6,331;0,341;-8,121
"large";-0,088;0,666;-0,075
"individuel";-1,851;-1,43;4,609
"incident";25,947;-0,401;-20,413
"impôt";11,961;-1,018;-7,122
"ianoukovitch";-13,026;132,338;-19,483
"hébert";25,923;-2,552;-14,834
"exiger";1,298;-0,401;-0,451
"exercer";0,49;3,418;-3,818
"espèce";-9,982;-3,351;18,781
"emploi";-5,646;0;5,38
"dépasser";-3,751;-1,571;7,545
"doi";-2,475;-0,637;4,326
"complet";0,391;-0,235;-0,075
"chiner";0,007;2,916;-1,578
"chasseur";-9,37;-3,191;17,704
"carte";-9,918;1,72;4,663
"biao";25,923;-2,552;-14,834
"approcher";-3,751;-1,571;7,545
"alexander";-0,573;-1,29;2,306
"adam";-12,404;-3,191;21,676
"abolir";12,862;-3,351;-4,96
"énorme";0,003;-0,104;0,027
"émerger";-13,026;-3,351;22,763
"écrivain";0,027;-0,235;0,03
"zhou";29,171;-2,871;-16,693
"vraiment";-1,556;0,221;0,791
"von";-2,112;-2,392;6,144
"unique";1,79;-1,43;-0,228
"tradition";-1,483;-3,191;5,832
"table";-1,856;-0,478;3,244
"séparation";0,128;0,004;-0,152
"séance";7,563;-0,886;-4,106
"surface";-8,151;-1,018;12,052
"souverain";6,093;0,027;-6,323
"shaoqi";30,796;-3,031;-17,622
"serment";21,196;-0,165;-17,622
"retenir";-5,049;-2,711;11,019
"pékin";30,796;-3,031;-17,622
"prêtre";14,828;0,666;-18,552
"prononcer";13,384;-1,153;-7,945
"proclamation";8,58;0,027;-8,778
"possibilité";0,391;-1,29;0,03
"pont";-0,037;-2,232;1,48
"oeillet";12,576;0,341;-14,834
"nationaliste";18,59;-3,191;-8,778
"musée";6,331;-0,757;-3,415
"monopole";-5,107;-3,351;11,964
"minorité";11,492;-1,29;-6,323
"mineur";-1,955;14,373;-1,567
"kirghizistan";-7,544;56,633;-6,312
"interpréter";-0,889;0,088;0,509
"interne";-1,483;-3,191;5,832
"interdiction";2,393;0,666;-4,27
"intelligence";-9,37;-3,191;17,704
"homosexuel";3,065;0,221;-4,106
"foyer";-0,83;-3,351;4,609
"final";9,674;-0,514;-6,408
"feu";-0,213;33,513;-12,526
"fameux";0,02;0,499;-0,391
"ex";-0,33;1,72;-0,119
"engendrer";-3,277;0,006;2,922
"déclencher";5,005;0,006;-4,96
"disperser";-5,107;92,139;-19,483
"considérable";-6,762;-0,235;8,198
"compétence";0,122;5,125;-3,607
"communiqué";5,005;10,557;-19,483
"center";-0,703;2,916;-0,13
"braudel";-6,814;-1,753;11,907
"big";-6,814;-1,753;11,907
"bible";-8,151;-2,871;15,554
"autrement";-2,573;-0,757;4,663
"automne";18,59;0,027;-18,552
"attribuer";-1,483;2,151;0,03
"artificiel";-13,026;-3,351;22,763
"africain";-6,185;2,548;1,74
"aboutir";2,393;0,027;-2,619
"écriture";-4,491;-2,552;9,994
"échapper";-0,833;-1,018;2,504
"xiaoping";24,161;-2,871;-13,056
"vente";0,063;-0,055;-0,007
"tôt";-4,057;0,863;1,74
"tâche";-1,955;-2,871;6,385
"simone";-10,539;67,749;-6,312
"rétablir";25,772;-3,031;-13,974
"rejeter";1,677;-1,153;-0,27
"rang";4,03;0,027;-4,27
"prôner";-0,062;-0,055;0,163
"provincial";9,674;-2,232;-3,984
"pennsylvanie";-0,355;2,548;-0,27
"orient";-6,185;5,125;0,739
"obliger";2,393;-0,235;-1,369
"noblesse";4,03;-3,191;-0,521
"mur";21,196;-1,153;-13,974
"mortalité";-11,16;-2,871;19,503
"monarchiste";32,421;-3,191;-18,552
"midi";4,006;0,132;-4,824
"mexique";-0,833;-2,871;4,221
"menchevik";32,421;-3,191;-18,552
"lyon";0,455;19,905;-13,905
"jiang";27,547;-2,711;-15,763
"introduction";-2,804;-1,434;6,019
"intermédiaire";-4,578;-0,235;5,832
"initiative";6,093;0,027;-6,323
"iii";10,561;-2,711;-4,106
"hiver";11,114;-2,392;-4,739
"historiographie";1,455;-2,392;-0,012
"fuite";1,179;22,276;-18,552
"friedrich";-0,182;-2,871;2,504
"fondement";-6,762;-1,29;10,965
"fiscal";4,03;-1,29;-1,369
"finance";-1,142;5,125;-0,27
"express";-7,544;79,862;-12,14
"explosion";-2,818;-1,29;5,832
"engrais";-11,782;-3,031;20,589
"défaite";21,196;-0,165;-17,622
"dominique";-2,875;25,133;-3,255
