"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";0,735978767386396;-1,00611048270891;0,590405685501369;-0,80710663888216;0,444795705862611;0,555204294137392;0,212091255512985;0,396354269025706;0,39155447546131;0,635655229639856;0,158210550256741
"classe 2";1,45622630286883;2,0591691221057;0,577396223621433;0,816464084297471;0,42816602865083;0,571833971349169;0,288094087924645;0,576050606470812;0,135855305604542;1,28191550289697;0,223252023128683
"classe 3";-1,02840014487897;0,241642774993654;-0,973487554659582;0,228739985404624;0,964434607172331;0,0355653928276717;0,49981465656237;0,0275951245034824;0,472590218934148;0,60320143788226;0,171952884365716
