"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"aux";-1,7759;-0,6244;-1,3152;1,3213;23,0082;-2,2524;-1,3039;-0,5574;-0,5993;6,5401;0,7271;0,5882;-1,7908;-0,7488;-1,6732;0,4957;-0,9855;-1,8385;1,3468;1,749;-3,3814;-1,8083;0,304;-0,6846;-2,9676;-4,39;-0,7617;-4,5477;1,0299;3,551;-2,2363;17,8166;0,5159;-1,1953;-1,0959;-0,8112;-1,8956;-2,8832;-0,3163;-0,5637;-1,6046;-2,3463;0,3105
"nr";-0,3792;30,523;16,9603;11,2045;190,5984;0,7515;16,8548;11,9026;2,9351;-120,5334;4,6509;199,1575;29,0316;68,7188;73,728;14,5433;-6,4757;3,9395;-3,555;24,706;10,4861;3,5922;-2,3818;9,8658;3,5571;5,1282;-5,806;-89,4244;1,4569;5,5812;-66,5367;-1,1715;-66,3171;1,5407;-30,7959;0,7547;-4,8623;0,8937;-0,3388;17,6355;43,6276;5,9945;6,6356
"pro_ind";-0,3113;0,9952;-0,4593;-1,6871;4,5853;-0,3614;-0,6062;-0,5853;-0,3621;2,9987;-1,1219;-0,8015;-0,7486;-0,2254;-0,5849;0,3001;-0,815;-1,6344;-2,6816;-0,3677;-0,3801;-1,3344;-0,9883;1,0697;0,2636;-0,3982;1,1688;-1,0886;0,6533;-0,9218;2,0489;-2,667;4,3027;-0,3567;-2,2497;1,7229;-1,257;-0,5083;-3,7132;5,2272;-0,6932;1,4168;-0,7233
"adj";0,5747;0,3421;-2,3426;-4,0177;-35,5412;-1,718;-1,9973;-2,1894;-0,2622;-1,2972;-1,5991;-16,813;-4,6735;-6,3494;-4,2615;-1,2586;5,2998;0,3085;-0,4625;4,9247;-1,2888;-0,4213;0,4078;-8,176;0,4962;0,4196;-1,4224;8,6001;-3,7215;0,5204;7,5216;-1,0772;6,3261;3,6436;1,8073;8,1476;2,6457;-7,168;5,3036;0,9367;-2,6124;-1,965;-0,4148
"pro_dem";0,4765;-0,8355;-0,1626;0,3974;18,0566;0,496;-0,2519;-0,2385;-0,4017;18,2562;0,5241;-3,3663;0,2593;-0,28;-0,6597;0,2614;-1,5217;-3,0358;-0,7868;-4,5857;-2,4772;-0,4414;-0,2817;-0,2735;-0,7245;-2,7145;-0,3115;0,8448;-0,8267;0,2928;1,8315;1,1681;-2,0492;-0,9472;-0,9844;-0,2833;-2,5205;-2,5178;-0,6991;-0,2678;0,2716;-0,2918;-1,4598
"nom";4,0761;0,5431;0,6022;-1,4242;-62,8183;6,4837;2,6979;3,8665;2,3161;-4,9596;1,4434;-1,4866;-0,8687;-1,7028;-0,5357;-0,6009;1,5637;4,1359;-5,3174;1,2199;13,3935;0,7669;0,7833;-1,8488;1,0243;0,7212;1,8831;2,6539;1,4408;-1,4542;1,9384;-0,3195;-1,7554;0,9322;2,8991;4,5964;1,4286;0,6832;0,5499;-0,5503;4,5431;0,918;0,5519
"art_ind";-0,2684;-0,6714;-0,9151;-1,1303;-20,6228;-1,1403;-1,1025;-0,3513;-0,379;0,48;-1,5477;-9,3918;-2,1143;0,459;-3,168;-2,4495;1,8859;2,4893;0,4918;-3,7276;-1,0721;0,5338;0,7373;0,3317;1,6076;-3,7231;-1,992;1,577;1,523;2,6104;1,7954;0,3364;1,3965;3,2036;6,8504;0,3324;-0,5812;0,6295;3,3539;0,4795;-2,7936;-1,3773;2,9152
"adj_int";-0,0182;-0,0212;-0,0071;1,2368;5,0663;-0,0752;-0,0093;-0,009;-0,0127;-0,3857;-0,0172;-0,1871;-0,0115;-0,0407;-0,0258;-0,0179;-0,0963;-0,5907;-0,4011;-0,5714;-0,111;-0,0205;-0,0532;-0,1902;-0,0191;-0,5212;0,5062;-1,8494;-0,0682;-0,3218;4,0456;-0,2184;-0,2034;-0,0404;0,6636;-0,0595;-0,2568;-0,8466;-0,1895;-0,0157;-0,0367;-0,0164;-0,0695
"pro_pos";-0,0063;-0,0073;-0,0024;-0,009;1,9131;-0,026;-0,0032;-0,0031;-0,0044;-0,3036;-0,006;-0,0647;-0,004;-0,0141;-0,0089;-0,0062;-0,0333;-0,2045;-0,1389;-0,1978;-0,0384;-0,0071;-0,0184;2,0322;-0,0066;0,2392;-0,0562;-0,6401;-0,0236;-0,1114;-0,2387;-0,0756;0,2633;-0,014;0,3582;-0,0206;-0,0889;-0,2931;-0,0656;-0,0054;1,5397;-0,0057;-0,024
"nom_sup";-0,3701;0,3388;-0,5038;-1,128;7,6045;-0,8676;-0,665;-0,247;-0,9056;-8,2724;0,5043;0,7614;-0,8211;-0,4613;-1,1197;-0,682;-0,6759;-0,2882;-2,0763;0,7282;-1,063;-0,8219;-0,8719;-4,0779;-0,7475;-1,2939;-1,9524;-3,697;-0,6602;1,9095;-2,027;-0,288;-3,2891;-0,6782;5,544;-1,4646;-1,2887;43,7491;-0,3094;-1,1206;-0,5491;0,5481;-3,0632
"adv_sup";-1,1172;-2,9556;-1,873;1,3366;11,8095;-1,0517;-1,1055;-1,0454;-1,2905;18,2726;-2,7405;-15,2807;-3,0526;-1,3628;-5,6126;-1,3979;3,0176;-7,1001;2,1397;-4,9081;-3,1693;-0,8909;-0,7969;-1,8603;-0,9674;-3,6358;0,9002;2,2506;-2,1282;3,4033;6,1701;0,332;8,0386;-0,2828;-1,1632;0,9989;-8,2028;-16,9824;0,7684;-4,1659;-9,7487;-1,9843;-1,1733
"adj_sup";-0,2369;-0,2761;-0,0918;0,2676;1,8978;-0,4651;-0,1212;-0,117;-0,165;0,411;0,3943;2,3544;-0,1497;0,9079;-0,3354;0,3815;0,261;0,6878;-1,6703;-0,3033;-0,806;-0,2668;-0,2772;0,9339;-0,249;-3,8198;0,2766;0,6075;-0,4025;3,5505;-2,791;-0,9539;0,4843;-0,1809;-0,8089;0,2752;-2,396;-0,2847;1,9159;-0,2042;2,2781;-0,2136;1,2306
"art_def";-1,6957;-10,4371;-4,1864;-2,6425;-46,0177;-1,8136;-2,7423;-3,8949;-1,2922;8,4642;-1,4125;-22,5978;-8,8692;-11,4999;-13,8163;-2,0491;0,3853;2,1252;2,0421;-5,8928;-2,169;0,9387;1,3863;0,4336;0,4147;3,4247;-0,3536;7,1147;-0,401;-4,2022;-0,3551;-0,8163;11,3515;-2,8157;1,3751;-1,2089;7,1461;2,2723;0,3834;-5,8348;-17,0178;-0,9654;-0,7476
"adj_num";-0,696;0,2547;-0,2698;-0,9909;1,5818;-0,4493;-0,3561;0,2621;-0,1588;-0,7482;-0,659;-0,2706;-0,4397;0,32;-0,9855;4,4301;-1,1161;1,1063;-0,9765;3,2529;-0,6083;-0,3352;-0,2999;-0,6417;-0,3021;1,5046;0,7397;-0,9322;1,7228;-2,9167;-1,2156;-1,2326;-3,8099;-0,8856;1,5578;-0,6283;-0,8224;5,3922;-0,799;0,3968;-0,7764;-0,2386;-1,8007
"pro_rel";-0,6417;-3,2844;-1,0922;-0,2479;2,1965;-0,6627;-1,4417;-1,3918;-1,9632;27,8835;-1,2483;-9,13;-1,0702;-1,0421;-2,2653;-0,4076;-0,5514;-9,6267;4,4568;-7,5929;-3,2796;-1,167;-0,6438;0,7004;-1,0322;-0,5484;-0,4897;0,3636;-0,7572;2,0424;5,8949;-0,3389;1,5931;-1,0248;-0,7347;-3,4418;-2,343;-1,9275;-1,3116;-1,0779;-4,5328;-1,1565;-0,5586
"con";0,4684;-1,9051;-1,5413;1,4025;-0,4775;-0,6416;-4,0567;-0,9197;-0,3935;7,8171;-2,3068;-6,7566;-1,5414;-3,5247;-3,4109;-0,8037;-0,3303;-1,0724;0,9624;-5,9521;-3,8834;-1,4746;0,5699;-2,9399;-1,7379;1,3572;0,3946;-0,5439;-0,4109;1,2885;6,312;-2,096;7,2127;0,859;0,5898;-0,5146;0,6118;-3,2238;-1,2332;-6,8359;-2,1467;-0,3475;0,4747
