"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"prôner";20;-0,0141;-0,0147;-0,0048;-0,0183;0,9818;-0,0584;-0,0059;-0,0064;-0,0101;0,3321;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,4619;-0,3028;-0,4293;-0,0813;-0,016;-0,0425;0,5541;-0,0146;0,2505;-0,1239;-0,412;-0,0532;-0,2316;-0,5247;0,4875;1,0638;-0,0313;0,926;1,0008;-0,1992;-0,6558;0,5531;-0,0125;-0,0237;-0,0118;-0,0534
"derrière";14;-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;1,7484;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,5877;-0,0867;-0,1988;-0,0373;-0,1622;0,2435;0,6182;-0,1807;-0,0219;0,2331;-0,032;-0,1394;-0,1373;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"accéder";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,6255;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,3263;-0,1817;0,3493;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;0,5161;-0,0743;-0,8696;-0,0319;-0,139;0,8134;0,6769;-0,1396;-0,0188;0,2764;-0,0274;0,6188;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"caractère";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;0,4857;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;-0,6005;0,651;-0,1931;-0,1057;-0,0208;-0,0552;-0,1848;-0,019;-0,5306;1,2833;1,4379;-0,0692;-0,3011;-0,264;0,3972;0,4118;-0,0407;-0,2799;-0,0594;0,9324;-0,3698;-0,1853;-0,0163;-0,0308;-0,0153;-0,0694
"fil";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;1,6905;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,2279;0,7153;1,7251;-0,0399;0,4819;0,6606;-0,1283;-0,5836;-0,0235;0,2147;-0,0343;-0,1494;-0,4919;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"assurer";52;-0,0368;-0,0383;-0,0126;-0,0475;-1,3366;-0,1518;-0,0154;-0,0166;-0,0263;1,7575;-0,0337;-0,3382;-0,0223;0,7931;-0,0429;-0,0306;-0,192;0,2931;-0,7873;0,6173;0,4142;-0,0416;-0,1104;-0,3697;-0,0379;-1,3853;-0,3222;1,0312;-0,1384;-0,6023;0,4391;0,5697;1,1318;-0,0813;-0,7772;-0,1188;-0,1742;0,2767;0,241;-0,0325;-0,0617;-0,0307;-0,1388
"emprisonner";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,3537;0,4969;1,8596;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;0,57;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;1,2106;-0,0172;-0,2998;-0,0251;-0,1096;0,2486;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"ceux_ci";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;0,914;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;0,8955;-0,3695;0,3691;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;0,7496;-0,0991;-0,2639;-0,0426;0,4592;0,2079;-0,1368;0,8168;-0,025;-0,4361;-0,0365;-0,1593;-0,1715;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"extrêmement";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;1,3206;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;0,57;-0,0681;-0,7971;-0,0293;-0,1274;0,8761;-0,0941;0,2029;-0,0172;-0,2998;1,2503;-0,1096;-0,3607;0,782;-0,0069;-0,013;-0,0065;-0,0294
"tirer";43;-0,0304;-0,0316;-0,0104;-0,0393;-1,1053;-0,1255;-0,0128;-0,0137;-0,0218;-0,2433;-0,0279;0,3235;-0,0184;-0,0631;-0,0355;1,2476;-0,1588;-0,4682;-0,2487;0,4638;-0,1748;1,1181;0,7223;0,8117;-0,0314;0,2454;0,3386;1,5944;1,5445;-0,1631;-0,2721;-0,3677;-0,309;-0,0673;-1,1722;-0,0982;-0,4283;-0,2091;0,2956;-0,0269;-0,051;-0,0253;-0,1148
