"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"inviter";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;-0,1902;-0,0104;0,6715;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;-0,3695;-0,2422;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;0,7496;-0,0991;-1,1595;-0,0426;-0,1853;1,9151;-0,1368;0,3938;-0,025;1,8602;-0,0365;0,5127;-0,5246;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"retenir";21;-0,0149;-0,0155;-0,0051;-0,0192;0,9329;0,8806;-0,0062;-0,0067;-0,0106;1,1281;-0,0136;0,5689;-0,009;-0,0308;-0,0173;-0,0123;-0,0776;-0,485;-0,3179;0,5703;-0,0853;-0,0168;-0,0446;-0,1493;-0,0153;-0,3859;-0,1301;1,0414;-0,0559;0,3677;-0,1878;-0,1796;-0,8171;-0,0328;-0,5724;-0,048;-0,2091;-0,2658;-0,1497;-0,0131;-0,0249;-0,0124;-0,0561
"entamer";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;0,5743;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;0,3242;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;0,8984;-0,0346;-0,1506;-0,3411;-0,1112;0,5117;-0,0203;-0,3544;-0,0297;0,5887;0,614;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"pied";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;0,4132;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;1,6337;0,4266;-0,0867;0,8057;-0,0373;0,5064;-0,3673;-0,1197;-0,1807;-0,0219;-0,3816;-0,032;1,4086;-0,4591;-0,0998;-0,0088;-0,0166;1,7253;-0,0374
"parallèle";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,1346;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;0,3242;-0,0528;-0,0104;1,2107;-0,0924;-0,0095;-0,1804;-0,0805;0,8984;-0,0346;-0,1506;0,2644;-0,1112;-0,1598;-0,0203;0,2535;-0,0297;0,5887;0,2039;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"définitivement";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;0,3902;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;0,8108;-0,0929;0,7239;-0,0399;-0,1737;0,6606;-0,1283;0,8799;-0,0235;0,2147;-0,0343;-0,1494;-0,1541;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"constater";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;1,1108;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;0,4662;0,3493;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,1578;-0,0743;1,0042;-0,0319;-0,139;-0,3148;-0,1026;0,5608;-0,0188;-0,3271;-0,0274;0,6188;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"aussitôt";11;-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,6831;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;0,7831;-0,008;-0,4618;-0,0681;0,2825;-0,0293;-0,1274;0,3138;-0,0941;0,2029;-0,0172;-0,2998;-0,0251;-0,1096;1,3897;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"comparer";19;-0,0134;-0,014;-0,0046;-0,0174;1,0343;-0,0555;-0,0056;-0,0061;-0,0096;0,3577;-0,0123;-0,1236;-0,0082;-0,0279;-0,0157;-0,0112;-0,0702;0,1966;-0,2877;0,2154;0,7881;-0,0152;-0,0403;-0,1351;-0,0139;0,273;0,6245;-1,3769;-0,0506;-0,2201;1,6476;-0,1625;-0,2951;-0,0297;-0,5179;-0,0434;1,1668;-0,2268;-0,1354;-0,0119;-0,0225;-0,0112;-0,0507
"tête";51;-0,0361;-0,0375;-0,0123;-0,0466;0,2461;0,5373;-0,0151;-0,0163;-0,0258;1,3852;-0,033;-0,3317;-0,0219;-0,0748;-0,0421;-0,03;-0,1884;-0,2976;-0,7722;-0,2586;0,4208;-0,0408;0,6563;0,6973;-0,0372;0,2912;0,2866;-1,0439;-0,1357;-0,5907;-0,7173;1,1112;1,1721;-0,0798;-0,4055;-0,1165;-0,1689;0,5056;0,2464;-0,0319;-0,0605;-0,0301;-0,1361
"mauvais";22;-0,0156;-0,0162;-0,0053;-0,0201;-0,5655;-0,0642;-0,0065;-0,007;-0,0111;-0,3157;-0,0142;-0,1431;-0,0094;-0,0323;-0,0182;-0,0129;-0,0812;-0,1653;-0,3331;0,5419;-0,0894;-0,0176;0,9916;-0,1564;-0,016;-0,1744;0,5697;1,8818;0,8992;0,9463;-0,2024;-0,1881;-0,856;-0,0344;0,4085;-0,0502;-0,2191;-0,7214;-0,1568;-0,0138;-0,0261;-0,013;-0,0587
"hors";13;-0,0092;-0,0096;-0,0031;-0,0119;1,4541;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;0,4384;0,3242;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;1,583;-0,0805;-0,9421;-0,0346;0,5332;-0,3411;-0,1112;1,0269;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"remplacer";46;-0,0325;-0,0338;-0,0111;-0,042;-1,1824;-0,1343;-0,0137;-0,0147;1,2824;-0,5253;1,1785;0,3029;-0,0197;-0,0675;-0,038;-0,027;1,2362;-0,2428;0,6809;-0,4649;0,4562;-0,0368;-0,0976;-0,327;-0,0336;-0,4233;0,3177;1,3799;-0,1224;-0,1819;1,2934;-0,3933;-0,6314;-0,072;-0,3336;0,6678;-0,1428;-0,246;-0,3279;-0,0288;-0,0546;-0,0271;-0,1228
"majoritairement";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;0,791;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;0,6886;-0,0102;-0,2038;-0,0867;-0,1988;-0,0373;-0,1622;-0,3673;0,6182;0,9496;-0,0219;0,2331;-0,032;0,5613;-0,1373;0,6876;-0,0088;-0,0166;-0,0083;-0,0374
"considérablement";14;-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;1,7182;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,4266;-0,0867;-1,0145;-0,0373;-0,1622;0,2435;1,5287;-0,1807;-0,0219;-0,3816;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"prélude";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;1,3215;-0,0711;-0,0073;1,2418;0,8763;0,3287;-0,0266;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;1,6885;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"réduire";36;-0,0255;-0,0265;-0,0087;-0,0329;-0,9253;-0,1051;-0,0107;-0,0115;-0,0182;0,2716;-0,0233;-0,2341;-0,0154;-0,0528;-0,0297;-0,0212;-0,133;-0,3592;-0,545;-0,3219;-0,1463;-0,0288;-0,0764;-0,2559;-0,0263;-0,2416;1,0356;0,7484;-0,0958;1,8405;1,7619;-0,3078;-0,2024;-0,0563;-0,2049;-0,0822;-0,3585;-0,2941;0,3505;-0,0225;-0,0427;-0,0212;-0,0961
"généralement";25;-0,0177;-0,0184;-0,006;-0,0228;-0,6426;-0,073;-0,0074;-0,008;-0,0127;0,5157;-0,0162;-0,1626;-0,0107;-0,0367;-0,0206;-0,0147;0,7178;-0,2034;-0,3785;-0,5366;-0,1016;-0,02;-0,0531;-0,1777;-0,0182;-0,5009;-0,1549;-0,6232;-0,0665;1,5654;0,7486;-0,2138;0,7912;1,0649;0,3424;0,9094;0,3602;-0,8198;1,207;-0,0156;-0,0297;-0,0147;-0,0667
"affecter";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;0,3242;-0,0528;-0,0104;-0,0276;0,7174;-0,0095;-0,5458;-0,0805;0,2104;-0,0346;0,5332;0,7572;0,6463;-0,5058;-0,0203;0,7319;-0,0297;-0,1295;0,2039;0,7164;-0,0081;-0,0154;-0,0077;-0,0347
"opposé";13;-0,0092;-0,0096;-0,0031;-0,0119;1,4541;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;1,1471;0,8942;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;-0,9421;-0,0346;-0,1506;-0,3411;-0,1112;0,5117;1,3397;-0,3544;1,18;-0,1295;-0,4263;0,7164;-0,0081;-0,0154;-0,0077;-0,0347
"celles";32;-0,0226;-0,0235;-0,0077;-0,0292;-0,8225;-0,0934;-0,0095;-0,0102;-0,0162;-0,2639;-0,0207;-0,2081;-0,0137;-0,0469;-0,0264;-0,0188;1,5222;-0,3;-0,4845;-0,2684;-0,13;-0,0256;-0,0679;-0,2275;-0,0233;-0,3723;-0,1983;0,971;0,7494;0,6869;0,5396;0,891;0,8709;-0,0501;-0,3847;-0,0731;-0,3187;-0,2324;-0,2281;-0,02;-0,038;-0,0189;-0,0854
"enlever";15;-0,0106;-0,011;-0,0036;1,5078;1,2894;-0,0438;1,9912;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;1,6968;-0,0554;-0,3464;1,0374;0,281;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;0,7153;-0,2305;-0,0399;-0,1737;0,2248;-0,1283;-0,5836;-0,0235;0,2147;-0,0343;-0,1494;-0,4919;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"élaboré";13;-0,0092;-0,0096;-0,0031;-0,0119;1,4541;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;0,9803;0,3018;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;-0,9421;-0,0346;0,5332;0,7572;0,6463;-0,1598;-0,0203;0,2535;-0,0297;0,5887;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"alors";253;0,4712;-0,1862;-0,0612;0,3842;-1,0973;0,2959;-0,0752;-0,0807;-0,1281;0,9012;-0,1639;-0,5636;-0,1086;-0,3712;0,4181;0,5375;-0,1951;0,4779;-0,6309;0,3492;-0,2361;-0,2026;0,895;0,9194;-0,1846;1,1984;0,3168;0,4972;-0,2659;0,3014;0,3829;0,4294;0,4789;-0,3959;0,325;-0,578;-0,7617;-1,6755;-0,6602;-0,1584;-0,3002;-0,1492;-0,2672
"manifester";69;-0,0488;-0,0508;-0,0167;-0,063;-0,3618;-0,2014;-0,0205;-0,022;-0,0349;1,7805;-0,0447;-0,4487;-0,0296;-0,1012;-0,057;-0,0406;0,3527;0,3166;-1,0447;-0,8284;0,3227;0,923;0,5432;0,5104;-0,0503;-0,4201;1,7754;-1,1048;-0,1836;-0,3421;-0,3782;-0,59;-0,5451;0,6575;1,2383;0,5167;0,332;0,8955;-0,4919;-0,0432;-0,0818;-0,0407;0,4614
"grave";26;-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;1,8918;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;-0,6005;1,2355;1,4612;-0,1057;-0,0208;-0,0552;0,4601;-0,019;-0,2473;0,5088;-1,8842;-0,0692;-0,3011;-0,6822;-0,2223;0,4118;-0,0407;0,6811;-0,0594;-0,2589;0,2417;0,4592;-0,0163;-0,0308;-0,0153;-0,0694
"malgré";61;-0,0432;-0,0449;-0,0148;-0,0557;-1,568;-0,1781;-0,0181;-0,0195;-0,0309;-0,5298;-0,0395;-0,3967;-0,0262;-0,0895;-0,0504;-0,0359;-0,2253;0,4098;-0,9236;-0,3655;-0,2479;-0,0488;-0,1295;1,1135;-0,0445;0,4817;0,2357;-0,4058;-0,1623;0,6643;0,3157;-0,1766;1,1266;-0,0954;1,1171;-0,1393;0,7941;0,3384;0,1989;-0,0382;-0,0724;-0,036;-0,1628
"suffrage";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;1,5123;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;1,3291;-0,2422;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;1,9143;0,6902;-1,1595;-0,0426;-0,1853;-0,4198;0,5683;0,3938;-0,025;-0,4361;-0,0365;-0,1593;-0,5246;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"cinquante";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;0,281;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;0,7153;0,7239;-0,0399;-0,1737;0,6606;-0,1283;-0,2024;-0,0235;0,2147;-0,0343;-0,1494;1,7007;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"suffire";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;1,1317;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;0,9803;-0,3002;0,4384;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,1804;-0,0805;0,8984;-0,0346;-0,1506;-0,3411;-0,1112;-0,1598;-0,0203;-0,3544;-0,0297;-0,1295;0,614;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"contemporain";61;1,0241;-0,0449;-0,0148;-0,0557;-1,568;-0,1781;-0,0181;1,3583;-0,0309;-0,3142;-0,0395;-0,3967;-0,0262;-0,0895;0,9607;-0,0359;1,8195;-1,4089;1,7455;-0,6976;0,9553;0,9734;0,5887;0,5839;1,0115;1,6475;1,9563;-0,8162;0,506;-0,7066;-0,5251;-0,1766;-0,6539;0,705;-0,3123;-0,1393;-0,2246;-1,2381;0,1989;-0,0382;0,814;-0,036;0,5049
"spécial";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;0,7233;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;1,5629;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,5877;-0,0867;-1,0145;-0,0373;-0,1622;0,7065;-0,1197;0,9496;-0,0219;0,2331;-0,032;-0,1394;1,1164;0,6876;-0,0088;-0,0166;-0,0083;-0,0374
"confirmer";20;-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;-0,0584;-0,0059;-0,0064;-0,0101;-0,2721;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,1413;0,2993;0,6007;-0,0813;1,4415;1,0309;0,5541;-0,0146;0,5551;-0,1239;-1,4494;-0,0532;1,8281;-0,5247;-0,171;-0,3196;-0,0313;-0,1843;-0,0457;-0,1992;0,7583;-0,1426;-0,0125;-0,0237;-0,0118;0,9368
"caractérisé";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;1,4338;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;1,0888;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,2079;0,8763;-0,7247;-0,0266;1,5674;0,3435;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;1,2247
"dette";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;1,5709;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;1,583;-0,0805;0,2104;-0,0346;-0,1506;-0,3411;-0,1112;-0,5058;-0,0203;-0,3544;-0,0297;-0,1295;1,1978;0,7164;-0,0081;-0,0154;-0,0077;-0,0347
"avance";17;-0,012;-0,0125;-0,0041;-0,0155;-0,437;-0,0496;-0,005;-0,0054;-0,0086;0,4164;-0,011;-0,1106;-0,0073;-0,0249;-0,014;-0,01;-0,0628;0,6594;0,3496;0,2453;-0,0691;-0,0136;-0,0361;-0,1209;-0,0124;-0,7137;-0,1053;0,587;-0,0452;1,1395;0,5803;0,546;0,362;-0,0266;-0,4634;-0,0388;-0,1693;-0,5574;-0,1212;-0,0106;-0,0202;-0,01;-0,0454
"emporter";12;-0,0085;-0,0088;-0,0029;-0,011;1,5495;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;1,7104;0,8032;-0,8696;-0,0319;0,5625;-0,3148;-0,1026;1,1133;-0,0188;-0,3271;-0,0274;-0,1195;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"global";12;-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,2078;-0,0078;0,7839;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;0,5161;-0,0743;0,2436;-0,0319;-0,139;1,5269;-0,1026;-0,4669;-0,0188;-0,3271;1,2136;0,6188;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"donner";138;-0,0976;-0,1016;-0,0334;0,5986;0,9979;-0,4029;-0,041;-0,044;-0,0699;-0,4343;-0,0894;-0,1786;-0,0592;-0,2024;-0,1139;-0,0811;-0,1715;-0,373;0,4743;-0,6991;-0,1996;-0,1105;0,8353;1,1232;-0,1007;0,4045;1,3247;-0,8815;0,2435;0,8023;0,9513;-0,306;0,6911;0,407;-1,5418;0,7857;1,0222;-0,9261;-0,9839;-0,0864;-0,1637;-0,0814;-0,3684
"quelques";104;0,8073;-0,0765;-0,0252;0,7066;0,2555;0,8117;-0,0309;-0,0332;-0,0526;-0,2328;-0,0674;-0,2666;-0,0446;-0,1525;-0,0859;-0,0611;0,2313;-0,6832;0,8317;0,4126;0,2061;-0,0832;-0,2208;0,2967;0,7951;-0,2946;0,3622;-1,8194;0,3267;-0,6236;0,5759;-0,4024;1,4963;-0,1627;0,5244;-0,2375;0,6759;-0,6493;0,6193;-0,0651;-0,1234;-0,0613;-0,2776
"attentat";15;-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;0,4873;-0,0097;0,6964;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,2599;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;1,6041;-0,2279;0,7153;-1,087;-0,0399;-0,1737;0,2248;-0,1283;0,8799;-0,0235;0,2147;-0,0343;-0,1494;1,0427;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"immédiatement";18;-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;0,3316;-0,3864;-0,0731;-0,0144;-0,0382;1,4692;-0,0131;1,111;-0,1115;0,5295;-0,0479;-0,2085;0,5451;0,5252;0,3332;-0,0282;-0,155;-0,0411;0,4708;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"réflexion";23;-0,0163;-0,0169;-0,0056;-0,021;-0,5912;-0,0671;-0,0068;-0,0073;-0,0116;1,5405;-0,0149;-0,1496;-0,0099;-0,0337;-0,019;-0,0135;-0,0849;0,4737;-0,3482;-0,4937;-0,0935;-0,0184;-0,0488;-0,1635;-0,0168;-0,1918;-0,1425;0,8867;-0,0612;-0,2664;1,3691;-0,1967;-0,8949;-0,036;0,7916;-0,0525;0,3873;-0,7542;-0,164;-0,0144;-0,0273;-0,0136;-0,0614
"celles_ci";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;1,4338;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;1,0921;-0,0406;-0,008;-0,0212;0,821;-0,0073;0,2079;-0,062;0,3287;-0,0266;-0,1158;0,3435;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"discussion";14;-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;0,791;0,4132;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,2038;-0,0867;-1,0145;-0,0373;-0,1622;-0,3673;0,6182;0,468;-0,0219;0,6819;-0,032;0,5613;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"découvrir";16;-0,0113;-0,0118;-0,0039;-0,0146;1,2176;-0,0467;-0,0048;1,9324;-0,0081;-0,56;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;0,2419;0,989;0,2624;-0,065;-0,0128;-0,034;-0,1137;-0,0117;-0,6717;-0,0991;-1,1595;-0,0426;1,1864;-0,4198;-0,1368;-0,2247;-0,025;1,1577;-0,0365;-0,1593;-0,5246;1,5634;-0,01;-0,019;-0,0094;-0,0427
"forme";107;-0,0757;-0,0787;-0,0259;0,6955;-0,2353;0,7924;-0,0318;-0,0341;0,9309;-0,2585;-0,0693;0,3248;-0,0459;0,5182;-0,0883;-0,0629;-0,3952;-1,0954;0,3001;1,1309;-0,4349;-0,0856;-0,2272;-0,7608;-0,0781;0,276;-0,2585;1,4703;-0,2848;0,5072;0,536;-0,4197;-1,02;-0,1674;-0,4428;0,963;0,3582;-0,4787;0,2827;-0,067;-0,1269;-0,0631;-0,2856
"artisan";18;-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;1,9116;-0,2725;-0,3864;-0,0731;-0,0144;-0,0382;-0,128;-0,0131;0,2977;-0,1115;1,3328;-0,0479;1,9564;-0,4723;-0,1539;-0,7004;-0,0282;-0,4907;-0,0411;0,4708;0,4197;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
"1951";10;-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;0,5312;1,0921;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;0,2079;-0,062;0,3287;-0,0266;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;0,9196;-0,0228;-0,0996;-0,3279;0,8199;-0,0063;-0,0119;-0,0059;-0,0267
"nos";48;-0,034;-0,0353;-0,0116;-0,0439;0,279;-0,1401;-0,0143;-0,0153;-0,0243;-0,5669;-0,0311;-0,3122;1,3343;-0,0704;-0,0396;-0,0282;0,4748;-1,1086;-0,2949;0,3873;-0,1951;-0,0384;-0,1019;0,2642;-0,035;-0,7723;-0,2974;1,2529;-0,1277;0,4421;0,8276;-0,4104;0,6456;-0,0751;0,476;-0,1096;0,5272;-0,5057;0,2634;-0,03;-0,0569;-0,0283;-0,1281
"surmonter";10;-0,0071;-0,0074;-0,0024;-0,0091;1,7754;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;0,3287;-0,0266;1,5674;0,3435;-0,0855;-0,3891;-0,0156;0,3315;-0,0228;-0,0996;0,2757;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"lieu";130;0,7192;-0,0957;-0,0315;-0,1188;-1,2582;-0,3795;-0,0386;-0,0415;0,852;1,1057;-0,0842;0,2386;-0,0558;-0,1907;-0,1073;-0,0764;-0,4802;1,4221;-0,4612;1,2989;-0,1815;-0,1041;0,3276;-0,4266;0,7073;-0,842;0,2587;1,0331;1,3371;-0,4789;0,4522;0,6042;-0,9096;0,4272;0,269;0,3052;-1,295;-0,8002;-0,9269;-0,0813;-0,1542;-0,0766;0,2594
