de;15677;pre
la;11838;art_def
le;7471;art_def
et;7093;con
l;7016;art_def
les;5947;art_def
en;5615;pre
des;5205;art_ind
être;5068;aux
à;4974;pre
du;3911;art_def
d;3682;pre
révolution;2563;nom
avoir;2510;aux
une;2487;art_ind
un;2404;art_ind
dans;2382;pre
par;2322;pre
au;1720;art_def
que;1646;pro_rel
sur;1632;pre
qui;1622;pro_rel
pour;1508;pre
ne;1381;adv_sup
il;1229;pro_per
s;1134;pro_per
se;1126;pro_per
plus;1110;adv_sup
p;976;nr
2;903;num
article;892;nom
ce;864;pro_dem
faire;830;ver_sup
premier;823;adj
aux;814;art_def
qu;800;con
état;797;nom
pas;774;adv_sup
avec;741;pre
1;729;num
comme;693;con
pouvoir;690;ver_sup
son;685;adj_pos
ou;663;con
mais;610;con
cette;580;adj_dem
3;572;num
politique;556;nom
français;543;adj
grand;541;adj
guerre;527;nom
france;525;nr
the;520;nr
siècle;510;nom
elle;510;pro_per
c;472;pro_dem
4;469;num
partir;461;ver
revolution;459;nr
pari;448;nom
entre;427;pre
industriel;426;adj
histoire;425;nom
social;411;adj
monde;410;nom
après;410;pre
on;408;pro_per
américain;408;adj
sa;400;adj_pos
année;398;nom
ligne;397;nom
gouvernement;395;nom
leur;391;pro_per
2011;390;num
voir;385;ver
ses;385;adj_pos
5;385;num
autres;384;pro_ind
prendre;378;ver
pays;370;nom
contre;369;pre
nouveau;365;adj
ils;364;pro_per
unir;361;ver
ainsi;355;adv_sup
mettre;349;ver
mouvement;338;nom
même;337;pro_ind
janvier;335;nom
révolutionnaire;324;adj
aussi;323;adv_sup
ces;316;adj_dem
deux;315;adj_num
tout;311;pro_ind
société;310;nom
jean;301;nom
b;295;nom_sup
travail;291;nom
consulter;289;ver
an;277;nom_sup
sans;271;pre
sous;267;pre
of;264;nr
6;264;num
y;263;pro_per
liésportail;263;nr
armée;263;nom
dont;261;pro_rel
numérique;259;adj
février;257;nom
dès;255;pre
alors;253;adv_sup
fin;252;nom
régime;251;nom
isbn;250;nr
économique;248;adj
devoir;246;ver_sup
où;234;pro_rel
note;234;nom
permettre;233;ver
lire;231;ver
technique;229;nom
selon;225;pre
leurs;225;adj_pos
bien;225;nom_sup
avril;224;nom
7;224;num
république;223;nom
octobre;221;nom
national;219;adj
édition;217;nom
0;215;num
si;212;con
mars;212;nom
10;212;num
tunisie;208;nr
septembre;208;nom
mai;207;nom
john;206;nr
droit;205;adj
ouvrier;204;nom
jacques;204;nom
agricole;203;adj
loi;202;nom
encore;202;adv_sup
début;201;nom
très;200;adv_sup
depuis;200;pre
place;199;nom
économie;198;nom
homme;197;nom
général;197;nom
ancien;197;adj
vers;196;pre
juin;196;nom
femme;196;nom
europe;196;nr
in;195;adj_sup
mort;193;nom
jour;193;nom
agriculture;189;nom
tous;188;pro_ind
président;188;nom
juillet;188;nom
devenir;188;ver
ben;188;nom_sup
force;185;nom
avant;185;pre
vie;184;nom
public;184;adj
000;184;num
puis;183;con
production;183;nom
communiste;182;nom
populaire;181;adj
culturel;181;adj
lennon;180;nr
and;180;nr
xixe;179;nr
décembre;179;nom
nouvelle;178;adj
8;177;num
population;176;nom
rester;175;ver
nombreux;175;adj
russe;173;adj
non;173;pro_per
notamment;172;adv
lui;172;pro_per
britannique;172;nom
partie;171;nom
cit;170;nr
op;168;nr
nous;168;pro_per
aller;168;ver
machine;167;nom
science;166;nom
projet;166;nom
novembre;166;nom
lors;166;adv_sup
utiliser;165;ver
rouge;165;adj
1789;165;num
russie;164;nr
plusieurs;164;adj_ind
développement;164;nom
certains;164;adj_ind
publier;163;ver
important;163;adj
effet;163;nom
civil;163;adj
recherche;162;nom
9;162;num
1968;162;num
également;160;adv
référence;160;nom
peu;160;nom_sup
autre;160;pro_ind
trois;159;adj_num
livre;157;nom
ali;156;nr
manifestation;155;nom
considérer;155;ver
tunisien;154;adj
août;154;nom
terre;153;nom
sauter;153;ver
moins;153;adv_sup
liberté;153;nom
fois;152;nom
peuple;151;nom
idée;151;nom
toute;150;adj_ind
2010;150;num
ministre;149;nom
vouloir;148;ver_sup
ville;148;nom
détaillé;148;adj
beatles;148;nr
suite;147;nom
fr;147;nr
créer;147;ver
2005;147;num
portail;146;nom
révolte;145;nom
point;145;nom_sup
mao;145;nom
dernier;145;adj
système;143;nom
temps;142;nom
sexuel;142;adj
donc;141;con
époque;140;nom
élection;140;nom
million;140;nom_sup
international;140;adj
assemblée;140;nom
industrie;139;nom
passer;138;ver
donner;138;ver
connaître;138;ver
25;138;num
seul;137;adj
groupe;137;nom
constitution;134;nom
quelques;133;adj_ind
constituer;133;ver
pierre;132;nom
humain;131;nom
2013;131;num
version;130;nom
rapport;130;nom
lieu;130;nom
critique;130;adj
jeune;129;adj
14;129;num
2004;128;num
québec;127;nr
paul;127;nr
nombre;127;nom
chanson;127;nom
rendre;125;ver
parser;125;nr
output;125;nr
ordre;125;nom
mw;125;nr
crise;125;nom
exemple;124;nom
978;124;num
1917;123;num
événement;122;nom
organisation;122;nom
louis;122;nom
j;122;pro_per
face;122;nom
coup;122;nom
allemagne;122;nom
réforme;121;nom
20;121;num
traiter;120;ver
question;120;nom
long;120;adj
chinois;120;adj
you;119;nr
paysan;119;nom
libre;119;adj
11;119;num
part;118;nom
moyen;118;adj
i;118;nom
dire;118;ver_sup
action;118;nom
pendant;117;pre
blanc;117;nom
presse;116;nom
no;116;nr
bolchevik;116;nom
2009;116;num
période;115;nom
progrès;115;nom
lien;115;nom
17;115;num
michel;114;nr
fer;114;nom
développer;114;ver
comité;114;nom
titre;113;nom
ellul;113;nr
13;113;num
saint;112;adj
roi;112;nom
création;112;nom
appeler;112;ver
raison;111;nom
15;111;num
bretagne;110;nr
2012;110;num
françois;109;nr
elles;109;pro_per
chine;109;nom
xviiie;108;nr
t;108;pro_per
processus;108;nom
personne;108;pro_ind
org;108;nr
évolution;107;nom
new;107;nom
libéral;107;nom
forme;107;nom
campagne;107;nom
26;107;num
ni;106;con
classe;106;nom
bataille;106;nom
01;106;num
suivre;105;ver
rôle;105;nom
commencer;105;ver
affaire;105;nom
industrialisation;104;nom
cours;104;nom
celle;104;pro_dem
trouver;103;ver
toujours;103;adv_sup
principal;103;adj
internet;103;nom
com;103;nom
colonie;103;nom
changement;103;nom
anglais;103;nom
22;103;num
celui;102;pro_dem
album;102;nom
soutenir;101;ver
petit;101;adj
information;101;nom
européen;101;adj
document;101;nom
commun;101;nom
30;101;num
ouvrage;100;nom
cet;100;adj_dem
cas;100;nom
24;100;num
16;100;num
écrire;99;ver
mondial;99;adj
marx;99;nr
historique;99;adj
scientifique;98;adj
page;98;nom
mois;98;nom
membre;98;nom
18;98;num
militaire;97;adj
enfant;97;nom
cause;97;nom
angleterre;97;nom
royaume;96;nom
origine;96;nom
nécessaire;96;adj
lénine;96;nr
culture;96;nom
21;96;num
soviet;95;nom
souvent;95;adv_sup
provoquer;95;ver
nord;95;nom
nom;95;nom
george;95;nr
2007;95;num
2000;95;num
seconde;94;nom
mesure;94;nom
empire;94;nom
conséquence;94;nom
agir;94;ver
1967;94;num
vapeur;93;nom
marier;93;ver
historien;93;nom
cependant;93;con
violence;92;nom
organiser;92;ver
déjà;92;ono
venir;91;ver
théorie;91;nom
situation;91;nom
lutte;91;nom
journal;91;nom
expression;91;nom
domaine;91;nom
1960;91;num
1918;91;num
xxe;90;nr
wikipedia;90;nr
présenter;90;ver
navigation;90;nom
lier;90;ver
galilée;90;nr
deuxième;90;adj
1793;90;num
moderne;89;adj
fort;89;adj_sup
2003;89;num
1969;89;num
terme;88;nom
falloir;88;ver_sup
démographique;88;adj
coll;88;nr
capitalisme;88;nom
autorité;88;nom
19;88;num
vert;87;adj
toutes;87;pro_ind
particulier;87;adj
congrès;87;nom
union;86;nom
tard;86;adv_sup
provenir;86;ver
https;86;nr
encyclopédie;86;nom
transition;85;nom
terreur;85;nom
produire;85;ver
parler;85;ver
nation;85;nom
façon;85;nom
entreprise;85;nom
demander;85;ver
bon;85;ono
afin;85;adv_sup
région;84;nom
opposition;84;nom
marquer;84;ver
ii;84;nr
ensemble;84;adv
communisme;84;nom
cela;84;pro_dem
12;84;num
