"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"avance";-0,012;-0,0125;-0,0041;-0,0155;-0,437;-0,0496;-0,005;-0,0054;-0,0086;0,4164;-0,011;-0,1106;-0,0073;-0,0249;-0,014;-0,01;-0,0628;0,6594;0,3496;0,2453;-0,0691;-0,0136;-0,0361;-0,1209;-0,0124;-0,7137;-0,1053;0,587;-0,0452;1,1395;0,5803;0,546;0,362;-0,0266;-0,4634;-0,0388;-0,1693;-0,5574;-0,1212;-0,0106;-0,0202;-0,01;-0,0454
"maximum";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;0,3537;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;0,7831;-0,008;2,7201;-0,0681;0,2825;-0,0293;-0,1274;0,3138;-0,0941;-0,428;-0,0172;0,3022;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"emporter";-0,0085;-0,0088;-0,0029;-0,011;1,5495;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;1,7104;0,8032;-0,8696;-0,0319;0,5625;-0,3148;-0,1026;1,1133;-0,0188;-0,3271;-0,0274;-0,1195;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"émergence";-0,0283;-0,0294;-0,0097;-0,0365;-1,0282;-0,1168;-0,0119;-0,0128;-0,0202;-0,7608;-0,0259;-0,2601;-0,0172;-0,0587;-0,033;-0,0235;-0,1477;-0,1825;0,3978;-0,8587;-0,1626;-0,032;-0,0849;-0,2844;-0,0292;-0,9752;-0,2478;5,0815;-0,1065;-0,145;0,6869;-0,342;-1,5565;-0,0626;3,2569;-0,0914;-0,3984;-0,6949;0,3175;-0,025;-0,0474;-0,0236;-0,1068
"conserver";-0,0177;-0,0184;-0,006;-0,0228;2,608;-0,073;-0,0074;-0,008;-0,0127;0,5157;-0,0162;-0,1626;-0,0107;-0,0367;-0,0206;-0,0147;2,9161;-0,2034;-0,3785;-0,5366;-0,1016;-0,02;0,9392;-0,1777;-0,0182;-1,0496;-0,1549;-0,6232;-0,0665;1,5654;-0,6559;1,9079;-0,1961;-0,0391;-0,6815;-0,0571;-0,249;-0,3484;-0,1782;-0,0156;-0,0297;-0,0147;-0,0667
"peupler";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;0,2307;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;2,7527;0,4969;-0,2361;1,0096;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;1,126;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"ingénieur";-0,0191;-0,0199;-0,0065;-0,0247;2,4278;-0,0788;-0,008;-0,0086;-0,0137;-0,4309;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;-0,0997;-0,6236;-0,4088;-0,5796;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;-1,1335;-0,1673;2,3044;-0,0719;-0,3127;1,7232;-0,2309;-1,0506;-0,0422;-0,736;-0,0617;2,5154;-0,8854;-0,1925;-0,0169;1,1482;-0,0159;-0,0721
"face";-0,0863;-0,0898;-0,0295;2,6451;24,0252;-0,3562;-0,0362;-0,0389;-0,0618;0,3248;-0,079;-0,7935;-0,0524;3,085;-0,1007;-0,0717;-0,4506;-0,9268;-1,1207;-1,7629;-0,4959;-0,0977;-0,259;0,4975;-0,089;-0,2603;-0,756;-6,4167;-0,3247;-1,4133;-0,24;-1,0433;1,0024;-0,1909;-0,6171;0,3246;-0,6319;-0,3296;0,2273;-0,0763;-0,1447;-0,0719;-0,3257
"réalité";-0,0389;-0,0405;-0,0133;0,9615;-1,4138;0,51;-0,0163;-0,0175;-0,0278;2,5323;-0,0356;-0,3577;-0,0236;-0,0807;-0,0454;-0,0323;-0,2031;-0,3442;0,247;-0,6024;0,3954;-0,044;-0,1168;-0,391;-0,0401;-1,4907;-0,3408;0,8896;-0,1464;0,3701;1,3878;-0,4703;1,0194;-0,086;0,3644;-0,1256;-0,5478;-0,6437;-0,3921;-0,0344;-0,0652;-0,0324;-0,1468
"supérieur";-0,029;-0,0302;-0,0099;-0,0375;-1,0539;-0,1197;-0,0122;-0,0131;-0,0208;-0,4256;-0,0266;-0,2666;-0,0176;-0,0601;-0,0338;-0,0241;-0,1514;-0,4364;-0,6208;-0,3919;-0,1666;-0,0328;-0,087;0,3108;-0,0299;-1,0085;0,9408;0,5387;-0,1091;4,0493;-0,2475;-0,3506;0,5643;-0,0641;0,3385;-0,0936;1,1826;0,458;0,31;-0,0257;-0,0486;-0,0242;-0,1094
"économie";-0,1401;-0,1457;-0,0479;-0,181;-5,0909;0,4169;-0,0588;-0,0632;-0,1002;0,4376;-0,1283;-1,288;-0,085;-0,2905;-0,1635;-0,1164;1,5609;1,5349;-2,094;-1,8951;-0,8049;0,5146;0,2075;-1,4081;-0,1445;-3,2387;-1,2271;16,7323;-0,5271;1,0974;5,7247;-0,3377;-1,3677;-0,3098;-5,3991;-0,4523;-0,2732;-3,6181;0,653;-0,1239;-0,2349;-0,1168;-0,182
"domination";-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;8,6776;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;-0,0997;-0,23;-0,4088;-0,5796;0,6512;-0,0216;-0,0573;-0,192;-0,0197;-0,2669;-0,1673;0,6454;-0,0719;-0,3127;-0,7084;-0,2309;-1,0506;-0,0422;0,3053;0,8782;-0,2689;-0,8854;-0,1925;-0,0169;-0,032;-0,0159;-0,0721
"sujet";-0,0361;-0,0375;-0,0123;-0,0466;0,2461;0,5373;-0,0151;1,4345;-0,0258;-1,0623;-0,033;-0,3317;-0,0219;-0,0748;-0,0421;-0,03;-0,1884;1,8068;2,7684;-0,2586;-0,2073;-0,0408;-0,1083;-0,3626;-0,0372;-0,5274;-0,316;-3,6961;-0,1357;-0,5907;1,1149;0,1982;-1,9845;-0,0798;5,0829;-0,1165;-0,1689;-0,9734;2,0201;-0,0319;-0,0605;-0,0301;-0,1361
"concept";-0,034;-0,0353;-0,0116;-0,0439;-1,2338;-0,1401;-0,0143;-0,0153;-0,0243;4,9739;-0,0311;-0,3122;-0,0206;-0,0704;-0,0396;-0,0282;-0,1773;-1,1086;0,6449;-0,4948;-0,1951;-0,0384;-0,1019;-0,3413;-0,035;-2,0153;-0,2974;-0,4214;-0,1277;-0,556;2,7703;-0,4104;-1,1274;0,7992;1,1561;2,6803;0,5272;-1,574;0,7355;-0,03;-0,0569;-0,0283;-0,1281
"0";-0,1522;6,9693;-0,052;-0,1965;-1,4732;-0,6278;-0,0639;-0,0686;-0,1089;-1,2926;-0,1393;1,3666;-0,0923;0,2871;-0,1775;-0,1264;-0,7943;-0,6714;-0,2648;0,3334;2,3644;-0,1721;-0,4565;1,5978;-0,1569;-0,9953;1,9123;0,7041;3,3996;1,9124;-1,9238;0,8879;-0,3731;-0,3364;-4,6886;3,7969;-2,142;-0,865;-0,497;18,4726;-0,2551;-0,1268;-0,5741
"rentrer";-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;9,0365;-0,0102;0,4266;-0,0867;0,8057;-0,0373;-0,1622;-0,3673;-0,1197;-0,1807;-0,0219;-0,3816;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"dance";-0,0078;-0,0081;-0,0027;-0,01;4,8887;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;8,3771;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;1,5288;-0,0065;-0,0294
"global";-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;0,2078;-0,0078;0,7839;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;-0,2771;-0,1817;-0,2576;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;0,5161;-0,0743;0,2436;-0,0319;-0,139;1,5269;-0,1026;-0,4669;-0,0188;-0,3271;1,2136;0,6188;0,2248;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"inquiétude";-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;-0,525;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;-0,0929;-1,087;2,4301;-0,1737;10,5134;-0,1283;-0,2024;-0,0235;-0,4089;-0,0343;-0,1494;-0,1541;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"deadline";-0,0156;-0,0162;-0,0053;-0,0201;-0,5655;-0,0642;-0,0065;-0,007;-0,0111;-0,77;-0,0142;40,2386;-0,0094;-0,0323;-0,0182;-0,0129;-0,0812;-0,5081;-0,3331;-0,4722;-0,0894;-0,0176;-0,0467;-0,1564;-0,016;-0,9236;-0,1363;-1,5943;-0,0585;-0,2548;-0,5772;-0,1881;-0,856;-0,0344;-0,5997;-0,0502;-0,2191;-0,7214;-0,1568;-0,0138;-0,0261;-0,013;-0,0587
"album";-0,0651;-0,0677;10,7317;-0,0841;41,9714;-0,2686;-0,0273;-0,0294;-0,0466;-3,2203;-0,0596;-0,5984;7,3823;11,9936;7,5484;-0,0541;-0,3398;-2,125;-1,393;-1,9751;-0,3739;-0,0736;-0,1953;-0,6541;-0,0671;-3,8629;-0,57;-6,668;-0,2449;-1,0657;-2,4141;-0,7867;-3,5802;-0,1439;-2,5082;-0,2101;-0,9164;-3,0171;-0,6559;-0,0576;14,5953;-0,0542;-0,2456
"trabelsi";-0,012;-0,0125;-0,0041;-0,0155;-0,437;-0,0496;-0,005;-0,0054;-0,0086;-0,595;-0,011;-0,1106;-0,0073;-0,0249;-0,014;-0,01;-0,0628;-0,3926;-0,2574;-0,3649;-0,0691;-0,0136;-0,0361;-0,1209;-0,0124;-0,7137;-0,1053;-1,2319;-0,0452;-0,1969;-0,446;-0,1454;-0,6615;-0,0266;-0,4634;-0,0388;-0,1693;19,3546;-0,1212;-0,0106;-0,0202;-0,01;-0,0454
"détroit";-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,3263;-0,1817;6,4126;5,4559;-0,0096;-0,0255;-0,0853;-0,0088;-0,5038;-0,0743;-0,8696;-0,0319;-0,139;-0,3148;-0,1026;-0,4669;-0,0188;-0,3271;-0,0274;-0,1195;-0,3935;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"zone";-0,0269;-0,028;-0,0092;-0,0347;-0,9768;0,647;-0,0113;-0,0121;-0,0192;-1,33;-0,0246;-0,2471;-0,0163;-0,0557;-0,0314;-0,0223;-0,1403;-0,8776;-0,2046;0,5577;0,524;-0,0304;-0,0807;-0,2702;-0,0277;-1,5954;-0,2354;0,6566;6,9196;7,419;-0,4698;0,7717;-0,8195;-0,0594;-0,4966;2,9752;-0,3785;-1,2461;-0,2709;-0,0238;-0,0451;-0,0224;-0,1014
"donner";-0,0976;-0,1016;-0,0334;0,5986;0,9979;-0,4029;-0,041;-0,044;-0,0699;-0,4343;-0,0894;-0,1786;-0,0592;-0,2024;-0,1139;-0,0811;-0,1715;-0,373;0,4743;-0,6991;-0,1996;-0,1105;0,8353;1,1232;-0,1007;0,4045;1,3247;-0,8815;0,2435;0,8023;0,9513;-0,306;0,6911;0,407;-1,5418;0,7857;1,0222;-0,9261;-0,9839;-0,0864;-0,1637;-0,0814;-0,3684
"idée";-0,1069;-0,1111;-0,0365;-0,138;0,2977;-0,1358;-0,0449;-0,0482;-0,0764;1,6059;-0,0978;-0,9822;-0,0648;-0,2215;-0,1247;-0,0888;-0,5578;-0,3231;2,2189;-0,3936;-0,6138;-0,1209;-0,3206;-0,2555;-0,1102;0,377;-0,4346;1,8897;-0,4019;-0,3605;2,4719;-0,6889;-0,4556;-0,2363;-1,3548;0,2612;-0,8506;-3,0357;-0,2568;-0,0945;-0,1791;0,732;0,2184
"division";-0,0226;-0,0235;-0,0077;-0,0292;-0,8225;-0,0934;-0,0095;-0,0102;-0,0162;-0,2639;-0,0207;-0,2081;-0,0137;-0,0469;-0,0264;-0,0188;-0,1182;-0,739;-0,4845;1,7526;-0,13;-0,0256;-0,0679;2,7605;-0,0233;0,2398;-0,1983;3,9155;-0,0852;0,241;-0,3635;-0,2736;-0,3231;-0,0501;-0,8723;-0,0731;-0,3187;-1,0493;-0,2281;-0,02;-0,038;-0,0189;-0,0854
"hannah";-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;4,4638;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;1,8977;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;-0,7247;-0,0266;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;0,3315;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"pays";-0,2619;-0,2724;-0,0896;-0,3383;-9,5164;0,6246;-0,11;0,6232;0,4554;2,7264;-0,2398;-1,062;-0,1588;-0,5429;0,8054;-0,2177;0,4172;-0,5634;-5,6053;0,7331;0,8721;1,4997;1,9905;1,7152;-0,2701;-6,8522;-0,9831;2,0053;6,1736;-4,2883;-6,3485;0,9505;3,7733;-0,5791;-2,6821;-0,8455;-3,6873;2,7633;5,3831;-0,2316;-0,4391;0,4034;2,0743
"trouble";-0,0255;-0,0265;-0,0087;-0,0329;-0,9253;-0,1051;-0,0107;-0,0115;-0,0182;-1,26;-0,0233;-0,2341;-0,0154;-0,0528;-0,0297;-0,0212;-0,133;0,5443;-0,1876;0,2811;-0,1463;-0,0288;-0,0764;0,3513;-0,0263;1,3615;1,0356;0,315;-0,0958;-0,417;-0,4337;-0,3078;-1,4008;-0,0563;-0,2049;-0,0822;-0,3585;4,4878;-0,2566;-0,0225;-0,0427;-0,0212;-0,0961
"guitare";-0,0375;-0,039;-0,0128;0,9767;60,2145;-0,1547;-0,0157;-0,0169;-0,0268;-1,855;-0,0343;-0,3447;-0,0227;-0,0777;-0,0438;-0,0312;-0,1957;-1,2241;-0,8025;-1,1378;-0,2154;-0,0424;-0,1125;-0,3768;-0,0387;-2,2252;-0,3284;-3,8411;-0,1411;-0,6139;-1,3906;-0,4532;-2,0623;-0,0829;-1,4448;-0,121;-0,5279;-1,738;-0,3778;-0,0332;0,8704;-0,0312;-0,1415
"misère";-0,0184;-0,0191;-0,0063;-0,0238;0,731;-0,0759;-0,0077;-0,0083;-0,0132;1,3324;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;-0,2166;-0,3936;-0,5581;-0,1057;-0,0208;-0,0552;-0,1848;-0,019;-0,5306;0,5088;0,6986;-0,0692;-0,3011;-0,6822;-0,2223;-0,4755;-0,0407;2,3928;-0,0594;-0,2589;0,2417;-0,1853;-0,0163;-0,0308;-0,0153;-0,0694
"présidence";-0,0255;-0,0265;-0,0087;-0,0329;-0,9253;0,6677;-0,0107;-0,0115;-0,0182;0,2716;-0,0233;-0,2341;-0,0154;-0,0528;-0,0297;-0,0212;-0,133;-0,8314;-0,545;0,2811;-0,1463;1,1925;0,7922;-0,2559;-0,0263;-1,5114;-0,223;-2,6089;-0,0958;-0,417;-0,9446;24,4826;-0,4047;-0,0563;-0,4586;-0,0822;-0,3585;0,93;-0,2566;-0,0225;-0,0427;-0,0212;-0,0961
"p";-0,2772;-0,7194;-0,2366;-0,8932;-7,4525;-1,3857;-0,2904;-0,3119;-0,164;-11,0223;0,7461;-6,358;-0,4195;-0,443;-0,8071;-0,5748;-0,7783;29,9682;-4,8464;1,593;-2,2527;-0,7824;-2,0753;-1,0931;-0,2905;78,0973;0,6433;-8,0442;-2,6019;0,7786;-5,7529;-3,8762;2,6677;0,8451;-12,9526;-0,6064;1,9834;-6,4301;-0,5509;-0,6117;-1,1596;-0,5763;-1,2076
"partager";-0,029;1,1732;-0,0099;-0,0375;-1,0539;-0,1197;-0,0122;-0,0131;1,3311;0,4053;-0,0266;-0,2666;-0,0176;0,8884;-0,0338;1,2677;-0,1514;-0,4364;-0,2308;-0,8801;-0,1666;1,138;-0,087;-0,2915;1,1768;-1,7213;-0,254;-0,6501;-0,1091;0,5322;0,3621;-0,3506;3,2937;-0,0641;-1,1177;-0,0936;0,215;0,458;-0,2923;2,787;0,975;1,2666;-0,1094
"guy";-0,0241;-0,025;-0,0082;-0,0311;-0,8739;-0,0992;-0,0101;-0,0108;1,4106;3,7487;-0,022;0,3991;-0,0146;-0,0499;2,7124;-0,02;-0,1256;-0,3293;-0,5148;-0,7299;-0,1382;-0,0272;-0,0722;-0,2417;-0,0248;-0,2103;0,4153;-2,464;-0,0905;-0,3938;0,2216;-0,2907;-1,323;-0,0532;4,6309;-0,0776;0,2664;-1,1149;0,3689;-0,0213;1,0522;-0,02;-0,0908
"revolution";-0,303;14,6978;5,3137;9,693;135,6105;-0,6602;2,4819;3,5157;-0,2168;-4,4467;0,326;26,2236;-0,1838;7,4224;13,973;4,5225;-1,5818;-0,2659;-6,4847;-0,3862;-1,0391;-0,3428;-0,4178;-1,5261;-0,3124;-9,4209;-2,6536;-18,6742;-1,1399;-3,8611;-9,7955;-3,6623;-11,5919;-0,264;-10,2169;-0,2143;-3,2266;-9,2715;0,2622;-0,268;-0,508;-0,2525;-0,5818
"prêter";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;1,0492;0,966;-0,1665;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;2,7201;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;1,7307;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"quelques";0,8073;-0,0765;-0,0252;0,7066;0,2555;0,8117;-0,0309;-0,0332;-0,0526;-0,2328;-0,0674;-0,2666;-0,0446;-0,1525;-0,0859;-0,0611;0,2313;-0,6832;0,8317;0,4126;0,2061;-0,0832;-0,2208;0,2967;0,7951;-0,2946;0,3622;-1,8194;0,3267;-0,6236;0,5759;-0,4024;1,4963;-0,1627;0,5244;-0,2375;0,6759;-0,6493;0,6193;-0,0651;-0,1234;-0,0613;-0,2776
"fédéré";-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;0,257;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;4,1233;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;2,0178;-0,062;-0,7247;-0,0266;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"ouvrage";-0,0708;-0,0736;-0,0242;0,7218;-2,5707;11,3175;-0,0297;-0,0319;-0,0506;0,6096;-0,0648;-0,6504;-0,0429;-0,1467;-0,0826;-0,0588;0,6823;-2,3098;14,3454;0,9578;-0,4064;-0,08;-0,2123;-0,2876;-0,073;-1,8345;-0,2327;0,5682;-0,2662;-0,2938;-0,8077;-0,8552;-1,6193;-0,1564;-0,2273;1,0119;-0,219;-3,2795;-0,713;-0,0626;-0,1186;-0,059;0,338
"ère";-0,034;-0,0353;-0,0116;-0,0439;-1,2338;-0,1401;-0,0143;-0,0153;-0,0243;-0,5669;-0,0311;-0,3122;-0,0206;-0,0704;-0,0396;-0,0282;2,1026;-0,5496;-0,2949;0,6988;-0,1951;-0,0384;-0,1019;-0,3413;-0,035;-1,2464;-0,2974;4,9568;-0,1277;0,4421;2,1944;-0,4104;-0,3956;-0,0751;-1,3085;-0,1096;-0,4781;-0,2719;-0,3422;-0,03;-0,0569;-0,0283;-0,1281
"explosion";-0,0141;-0,0147;-0,0048;-0,0183;-0,5141;-0,0584;-0,0059;-0,0064;-0,0101;-0,7;-0,013;-0,1301;-0,0086;-0,0293;-0,0165;-0,0118;-0,0739;-0,4619;-0,3028;-0,4293;-0,0813;-0,016;-0,0425;-0,1422;-0,0146;-0,8396;-0,1239;2,1627;-0,0532;1,0165;-0,1734;-0,171;1,0638;-0,0313;0,4612;-0,0457;-0,1992;0,3639;0,5531;-0,0125;-0,0237;-0,0118;-0,0534
"demeure";-0,0248;-0,0258;-0,0085;-0,032;0,4863;-0,1022;-0,0104;-0,0112;-0,0177;-1,225;-0,0227;-0,2276;-0,015;-0,0513;-0,0289;-0,0206;-0,1293;-0,3442;-0,1793;-0,3083;-0,1422;-0,028;-0,0743;-0,2488;-0,0255;-0,4407;-0,2168;9,6225;-0,0931;-0,4054;-0,9183;-0,2993;-0,3838;-0,0547;-0,9541;-0,0799;0,7259;-0,5742;-0,2495;-0,0219;-0,0415;-0,0206;-0,0934
"adresser";-0,0071;-0,0074;-0,0024;-0,0091;5,2093;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;0,3846;0,5312;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;-0,7247;-0,0266;-0,1158;-0,2624;-0,0855;0,6796;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"domaine";-0,0644;0,845;-0,022;-0,0831;-2,3393;-0,2657;-0,027;-0,029;-0,0461;-1,6113;-0,0589;-0,5918;-0,039;-0,1335;-0,0751;-0,0535;0,2686;-0,3109;-0,7516;-1,9536;-0,3699;-0,0728;-0,1932;-0,647;-0,0664;-2,8106;-0,5638;5,5706;-0,2422;-1,0541;3,5878;0,9888;-0,9946;0,5536;0,3186;3,8992;2,3244;-0,6983;0,7319;-0,0569;-0,1079;-0,0536;-0,2429
"ciel";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;11,4755;0,3774;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;-0,7971;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;1,8292;-0,0294
"attentat";-0,0106;-0,011;-0,0036;-0,0137;-0,3855;-0,0438;-0,0045;-0,0048;-0,0076;0,4873;-0,0097;0,6964;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;0,2599;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;1,6041;-0,2279;0,7153;-1,087;-0,0399;-0,1737;0,2248;-0,1283;0,8799;-0,0235;0,2147;-0,0343;-0,1494;1,0427;-0,1069;-0,0094;-0,0178;-0,0088;-0,04
"retirer";-0,0184;-0,0191;-0,0063;-0,0238;-0,6683;-0,0759;-0,0077;-0,0083;-0,0132;-0,1719;-0,0168;-0,1691;-0,0112;-0,0381;-0,0215;-0,0153;-0,096;0,4059;-0,3936;-0,5581;0,6656;-0,0208;-0,0552;-0,1848;-0,019;0,3624;-0,1611;-0,6683;-0,0692;-0,3011;-0,264;-0,2223;0,4118;-0,0407;0,6811;-0,0594;3,5781;0,9341;-0,1853;-0,0163;-0,0308;-0,0153;-0,0694
"pièce";-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;-0,4309;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;-0,0997;-0,23;-0,4088;2,0634;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;-1,1335;-0,1673;3,5093;-0,0719;-0,3127;1,7232;1,014;-0,5027;-0,0422;-0,736;-0,0617;-0,2689;-0,8854;-0,1925;-0,0169;-0,032;-0,0159;-0,0721
"bloquer";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;-0,254;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;0,57;-0,0681;0,2825;-0,0293;-0,1274;-0,2886;0,7106;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;4,305;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"immédiatement";-0,0127;-0,0132;-0,0044;-0,0164;-0,4627;-0,0525;-0,0053;-0,0057;-0,0091;-0,63;-0,0117;-0,1171;-0,0077;-0,0264;-0,0149;-0,0106;-0,0665;-0,4157;0,3316;-0,3864;-0,0731;-0,0144;-0,0382;1,4692;-0,0131;1,111;-0,1115;0,5295;-0,0479;-0,2085;0,5451;0,5252;0,3332;-0,0282;-0,155;-0,0411;0,4708;-0,5902;-0,1283;-0,0113;-0,0213;-0,0106;-0,048
